cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,1,0,0,0,2,0,1,0,2,1
I2,1,0,0,0,2,0,1,0,2,1
I3,1,0,0,1,2,0,1,0,2,1
216_15,1,0,0,1,2,0,1,1,2,1
216_14,1,0,0,1,2,0,1,0,2,1
I4,1,0,0,0,2,0,1,1,2,1
216_17,1,0,0,0,2,0,1,1,2,1
216_16,1,0,0,0,2,0,1,1,2,1
I5,1,0,1,0,2,0,1,0,2,1
I6,1,0,1,0,2,0,1,0,2,1
216_19,1,0,1,0,2,0,1,1,2,1
216_18,1,0,1,0,2,0,1,0,2,1
I7,1,0,1,0,2,0,1,0,2,1
216_21,1,0,1,0,2,0,1,0,2,1
216_20,1,0,1,2,2,2,1,0,2,1
I8,0,0,1,0,0,0,0,0,0,0
I9,0,0,1,0,0,0,0,0,0,1
I10,0,0,1,2,0,0,0,1,0,1
216_11,1,2,1,2,0,0,2,1,0,1
I11,2,0,1,2,0,1,1,1,1,1
216_13,2,0,1,2,0,1,1,1,1,1
216_12,2,0,1,2,0,1,1,1,1,1
I12,1,0,1,2,1,0,0,0,0,1
I13,1,0,1,2,1,2,0,0,0,1
216_9,1,0,1,2,1,2,0,0,0,1
216_8,1,0,1,2,1,2,0,0,0,1
I14,1,1,1,2,1,2,0,0,2,1
216_7,1,1,1,2,1,2,0,0,2,1
216_6,1,1,1,2,1,2,0,0,2,1
I15,0,0,1,0,1,0,0,0,0,0
216_1,0,0,1,2,1,1,0,0,2,2
I16,0,0,1,2,1,0,0,0,0,1
216_5,2,0,1,2,1,2,2,0,2,1
I17,0,0,1,2,1,0,0,0,2,1
216_4,0,0,1,2,1,0,0,0,2,1
216_3,0,0,1,2,1,0,0,0,2,1
Evolve tree: [&R] (((((216_3:0.024,216_4:0.024)I17:0.318,216_5:0.342)I16:0.318,216_1:0.66)I15:0.28200000000000003,(((216_6:0.054,216_7:0.054)I14:0.312,(216_8:0.042,216_9:0.042)I13:0.324)I12:0.294,((216_12:0.09,216_13:0.09)I11:0.276,216_11:0.366)I10:0.294)I9:0.28200000000000003)I8:0.258,(((216_20:0.246,216_21:0.246)I7:0.294,(216_18:0.222,216_19:0.222)I6:0.318)I5:0.318,((216_16:0.234,216_17:0.234)I4:0.28200000000000003,(216_14:0.216,216_15:0.216)I3:0.3)I2:0.342)I1:0.342)I0:0.09;
