[&R] (((((216_11:1.227,216_13:1.227)167_6:0.941,(216_9:1.049,216_10:0.049)168_5:1.119)119_4:1.097,((216_7:0,216_8:0)192_7:0.225,216_5:2.225)126_3:2.04)67_2:4.735,((216_1:1.009,216_2:1.009)182_1:0.002,216_4:1.011)126_1:4.989)11_1:0)I0;
I0,0,0,0,0,0,0,0,0,0,0
11_1,0,0,0,0,0,0,0,0,0,0
126_1,0,0,2,1,0,1,1,0,1,0
216_4,0,0,2,1,0,1,1,2,1,0
182_1,0,0,2,1,0,1,1,0,1,0
216_2,0,0,2,1,0,1,1,2,1,0
216_1,0,0,2,1,2,1,1,0,1,0
67_2,0:0.05/1:0.95,0,0:0.05/1:0.95,0:0.05/2:0.95,0,0,0:0.05/2:0.95,0:0.05/2:0.95,0,0
126_3,0:0.01/1:0.99,0:0.1/2:0.9,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.1/2:0.9
216_5,1,2,1,2,1,0,2,2,2,2
192_7,1,2,1,2,0,0,2,2,0,2
216_8,1,2,1,2,0,0,2,2,0,2
216_7,1,2,1,2,0,0,2,2,0,2
119_4,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.13/2:0.87,0:0.01/2:0.99,0:0.01/2:0.99,0,0
168_5,1,0,1,2,0:0.04/2:0.96,0:0.01/2:0.99,2,2,0,0
216_10,1,0,1,2,2,2,2,2,0,0
216_9,1,0,1,2,2,2,2,2,0,1
167_6,1,0,1,2,0,0:0.03/2:0.97,2,2,0:0.19/2:0.81,0
216_13,1,0,1,2,1,2,2,2,2,0
216_11,1,0,1,2,0,2,2,2,2,2
