pos_1,pos_2,progenitor,descendants_1,descendants_2
287,347,1,1,
262,339,2,2,
256,325,3,3,
279,321,4,4,
269,306,5,5,
251,302,6,6,
239,288,7,7,
296,309,8,8,
283,299,9,9,
267,287,10,10,
245,264,11,11,
301,285,12,12,
297,261,13,13,
285,278,14,14,
253,255,15,15,
334,271,16,16,
310,257,17,17,
297,216,18,18,
320,195,19,19,
261,235,20,20,
279,228,21,21,
243,194,22,22,
261,174,23,23,
284,263,24,24,
279,246,25,25,
278,215,26,26,27
232,245,27,28,
250,236,28,29,
225,230,29,30,
200,215,30,31,
219,260,31,32,
198,251,32,33,
