pos_1,pos_2,progenitor,descendants_1,descendants_2
287,346,1,1,
262,339,2,2,
258,327,3,3,
283,319,4,4,
259,300,5,5,6
237,295,6,7,
296,306,7,8,
283,298,8,9,
266,285,9,10,
242,265,10,11,
303,286,11,12,
297,261,12,13,
282,274,13,14,
254,263,14,15,
334,271,15,16,
308,256,16,17,
295,218,17,18,
326,196,18,19,
258,236,19,20,
277,230,20,21,
243,194,21,22,
260,174,22,23,
282,264,23,24,
277,250,23,25,
280,214,24,26,
238,246,25,27,
245,240,25,28,
225,228,26,29,
204,210,27,30,
220,260,28,31,
198,249,29,32,
