pos_1,pos_2,progenitor,descendants_1,descendants_2
287,347,1,1,
263,338,2,2,
256,325,3,3,
278,321,4,4,
269,306,5,5,
251,308,6,6,
239,286,7,7,8
295,309,8,9,
282,299,9,10,
266,288,10,11,
245,264,11,12,
301,285,12,13,
297,261,13,14,
281,277,14,15,
253,252,15,16,
334,271,16,17,
309,257,17,18,
297,216,18,19,
320,195,19,20,
263,237,20,21,
279,228,21,22,
243,194,22,23,
261,174,23,24,
285,263,24,25,
279,246,25,26,
284,218,26,27,
265,212,26,28,
231,247,27,29,
250,236,28,30,
225,230,29,31,
200,215,30,32,
219,260,31,33,
198,251,32,34,
