cell,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
216_3,0,1,1,0,2,1,1,0,2,1
216_5,2,1,1,0,1,1,1,1,0,1
216_6,2,1,1,0,1,1,1,1,0,1
216_7,2,1,1,0,1,1,1,1,0,1
216_8,2,1,1,1,1,1,1,1,1,1
216_9,2,1,1,1,0,1,1,1,2,1
216_10,2,1,1,1,0,1,1,1,2,1
216_18,1,1,1,0,1,1,1,2,1,1
216_19,1,1,1,0,1,1,1,2,1,1
216_20,2,1,1,0,1,1,1,1,2,1
216_21,1,1,1,0,1,1,2,1,2,1
216_22,2,1,1,2,1,1,1,1,1,1
216_23,1,1,1,2,0,1,1,2,1,1
216_24,2,1,1,2,0,1,1,2,0,1
216_25,2,1,1,2,0,1,1,2,0,1
216_26,2,1,1,0,1,1,1,1,2,1
216_27,2,1,1,0,1,1,1,1,2,1
216_30,0,1,1,0,0,1,1,2,2,1
216_31,0,1,1,0,0,1,1,2,2,1
216_32,0,1,1,0,1,1,1,2,2,1
216_33,0,1,1,0,1,1,1,2,2,1
216_34,2,1,1,2,0,1,1,1,0,1
216_35,2,1,1,2,0,1,2,1,0,1
