experiment,method,est_sigma
s15c8_k10_r2_,spalin,2.39173735398752
s15c8_k10_r2_,spalin-divide-beta1,1.493116377621827
s15c8_k10_r2_,spalin-divide-beta3,1.382466117853038
s15c8_k10_r2_,spalin-divide-beta5,1.267145166010026
s15c8_k10_r2_,spalin-divide-beta7,1.089385592828657
s15c8_k10_r2_,spalin-divide-beta10,0.963955177802215
s15c8_k10_r3_,spalin-spatialonly,2.772870683528453
s15c8_k10_r3_,spalin-divide-beta5-spatialonly,1.196123012444981
s15c8_k10_r3_,spalin,2.30481795725057
s15c8_k10_r3_,spalin-divide-beta1,1.46531890127827
s15c8_k10_r3_,spalin-divide-beta3,1.35590150350395
s15c8_k10_r3_,spalin-divide-beta5,1.218539075313613
s15c8_k10_r3_,spalin-divide-beta7,1.0871125428498
s15c8_k10_r3_,spalin-divide-beta10,0.95238149701725
s15c8_k10_r4_,spalin-spatialonly,2.772870683528453
s15c8_k10_r4_,spalin-divide-beta5-spatialonly,1.19732006129406
s15c8_k10_r4_,spalin,2.444388200951246
s15c8_k10_r4_,spalin-divide-beta1,1.509066814861446
s15c8_k10_r4_,spalin-divide-beta3,1.39667092496106
s15c8_k10_r4_,spalin-divide-beta5,1.25241394627625
s15c8_k10_r4_,spalin-divide-beta7,1.09616177293966
s15c8_k10_r4_,spalin-divide-beta10,0.981236496984387
s15c8_k10_r5_,spalin-spatialonly,2.772870683528453
s15c8_k10_r5_,spalin-divide-beta5-spatialonly,1.197352332889909
s15c8_k10_r5_,spalin,2.78024018273258
s15c8_k10_r5_,spalin-divide-beta1,1.61069053692859
s15c8_k10_r5_,spalin-divide-beta3,1.49413913478683
s15c8_k10_r5_,spalin-divide-beta5,1.33689995519736
s15c8_k10_r5_,spalin-divide-beta7,1.152743908622874
s15c8_k10_r5_,spalin-divide-beta10,1.04943877125111
s3c3_k10_r1_,spalin-spatialonly,1.9355090066425
s3c3_k10_r1_,spalin-divide-beta5-spatialonly,1.0969610765594
s3c3_k10_r1_,spalin,2.142651866701036
s3c3_k10_r1_,spalin-divide-beta1,1.401959470025535
s3c3_k10_r1_,spalin-divide-beta3,1.270486501017677
s3c3_k10_r1_,spalin-divide-beta5,1.126033809030647
s3c3_k10_r1_,spalin-divide-beta7,0.966357183567166
s3c3_k10_r1_,spalin-divide-beta10,0.681840246301948
s3c3_k10_r2_,spalin-spatialonly,1.9355090066425
s3c3_k10_r2_,spalin-divide-beta5-spatialonly,1.096921797568841
s3c3_k10_r2_,spalin,2.152661213275885
s3c3_k10_r2_,spalin-divide-beta1,1.401777744156973
s3c3_k10_r2_,spalin-divide-beta3,1.262783117741464
s3c3_k10_r2_,spalin-divide-beta5,1.1122785438911
s3c3_k10_r2_,spalin-divide-beta7,0.953919691497378
s3c3_k10_r2_,spalin-divide-beta10,0.678345466537074
s3c3_k10_r3_,spalin-spatialonly,1.9355090066425
s3c3_k10_r3_,spalin-divide-beta5-spatialonly,1.098384763475274
s3c3_k10_r3_,spalin,1.67346055623434
s3c3_k10_r3_,spalin-divide-beta1,1.238342629630122
s3c3_k10_r3_,spalin-divide-beta3,1.120649317812463
s3c3_k10_r3_,spalin-divide-beta5,0.991630129383003
s3c3_k10_r3_,spalin-divide-beta7,0.848760846194926
s3c3_k10_r3_,spalin-divide-beta10,0.613415208600618
s3c3_k10_r4_,spalin-spatialonly,1.9355090066425
s3c3_k10_r4_,spalin-divide-beta5-spatialonly,0.940186077260921
s3c3_k10_r4_,spalin,2.59671714759387
s3c3_k10_r4_,spalin-divide-beta1,1.54345799777376
s3c3_k10_r4_,spalin-divide-beta3,1.39915172710532
s3c3_k10_r4_,spalin-divide-beta5,1.24139768982501
s3c3_k10_r4_,spalin-divide-beta7,1.067867456692399
s3c3_k10_r4_,spalin-divide-beta10,0.728577813556034
s3c3_k10_r5_,spalin-spatialonly,1.9355090066425
s3c3_k10_r5_,spalin-divide-beta5-spatialonly,1.115026605503633
s3c3_k10_r5_,spalin,2.11759465126473
s3c3_k10_r5_,spalin-divide-beta1,1.390682362347739
s3c3_k10_r5_,spalin-divide-beta3,1.25396961697102
s3c3_k10_r5_,spalin-divide-beta5,1.106363535630156
s3c3_k10_r5_,spalin-divide-beta7,0.950481686502839
s3c3_k10_r5_,spalin-divide-beta10,0.718851092412115
s15c6_k10_r1_,spalin-spatialonly,3.575615457879646
s15c6_k10_r1_,spalin-divide-beta5-spatialonly,1.62504095673861
s15c6_k10_r1_,spalin,2.326018262977063
s15c6_k10_r1_,spalin-divide-beta1,1.482412712069211
s15c6_k10_r1_,spalin-divide-beta3,1.394046492907328
s15c6_k10_r1_,spalin-divide-beta5,1.301377753689602
s15c6_k10_r1_,spalin-divide-beta7,1.18470498785565
s15c6_k10_r1_,spalin-divide-beta10,1.134203944485068
s15c6_k10_r2_,spalin-spatialonly,3.575615457879646
s15c6_k10_r2_,spalin-divide-beta5-spatialonly,1.62505971757008
s15c6_k10_r2_,spalin,2.741569785357692
s15c6_k10_r2_,spalin-divide-beta1,1.609302042530576
s15c6_k10_r2_,spalin-divide-beta3,1.514806700561238
s15c6_k10_r2_,spalin-divide-beta5,1.419240031970971
s15c6_k10_r2_,spalin-divide-beta7,1.251023376744741
s15c6_k10_r2_,spalin-divide-beta10,1.200301871018591
s15c6_k10_r3_,spalin-spatialonly,3.575615457879646
s15c6_k10_r3_,spalin-divide-beta5-spatialonly,1.625079831041495
s15c6_k10_r3_,spalin,2.851373883090579
s15c6_k10_r3_,spalin-divide-beta1,1.64058816949194
s15c6_k10_r3_,spalin-divide-beta3,1.54164641583452
s15c6_k10_r3_,spalin-divide-beta5,1.439106123901216
s15c6_k10_r3_,spalin-divide-beta7,1.25579725040857
s15c6_k10_r3_,spalin-divide-beta10,1.233376639015162
s15c6_k10_r4_,spalin-spatialonly,3.575615457879646
s15c6_k10_r4_,spalin-divide-beta5-spatialonly,1.625040428106418
s15c6_k10_r4_,spalin,2.853284660377897
s15c6_k10_r4_,spalin-divide-beta1,1.643608521188044
s15c6_k10_r4_,spalin-divide-beta3,1.549786828597521
s15c6_k10_r4_,spalin-divide-beta5,1.44977423151109
