Angle,Source
118.11320887605596,Real
176.5053610727467,Real
100.30484646876602,Real
169.27961975375024,Real
156.80140948635182,Real
97.51842687944219,Real
169.69515353123398,Real
140.3009265165257,Real
157.5430610000579,Real
154.23067237566127,Real
157.52056560289688,Real
173.65980825409008,Real
170.53767779197437,Real
108.434948822922,Real
111.80140948635182,Real
173.6598082540901,Real
157.61986494804043,Real
116.565051177078,Real
173.99099404250546,Real
173.5545819637403,Real
67.83365417791754,Real
167.33493623495764,Real
169.99202019855866,Real
159.09201952899033,Real
148.86102756302114,Real
117.91976642810863,Real
160.70995378081128,Real
71.9958383940866,Real
142.76516601842533,Real
96.54629078329404,Real
144.26452398513297,Real
131.7845160082518,Real
178.99491399474581,Real
146.86773189756607,Real
98.80679269443532,Real
171.86989764584402,Real
164.74488129694222,Real
171.1581854398083,Real
157.18833614129173,Real
60.561510325328484,Real
83.31068460236594,Real
179.1574757392596,Real
98.91492695714787,Real
62.02052561151985,Real
168.78936687112332,Real
148.3924977537511,Real
176.63353933657018,Real
178.57973445360096,Real
164.29136217098426,Real
153.69898280418113,Real
167.17121712854458,Real
167.08218715606603,Real
156.80140948635182,Real
119.54349098567445,Real
153.434948822922,Real
167.75366714031958,Real
176.4677054161091,Real
146.30993247402023,Real
168.6900675259798,Real
160.55996517182382,Real
130.36453657309735,Real
140.3893117599734,Real
180.0,Real
110.77225468204584,Real
138.3664606634298,Real
139.21417852273404,Real
173.6598082540901,Real
159.64166199955832,Real
176.9335144988741,Real
166.4295656148385,Real
161.21137801783152,Real
173.418055344822,Real
167.70141015592012,Real
178.99491399474581,Real
154.76716867679164,Real
112.1663458220824,Real
136.2188752351313,Real
153.434948822922,Real
169.69515353123398,Real
106.69924423399361,Real
104.37000151517931,Real
148.6632293401285,Real
147.91781284393394,Real
169.89070150750484,Real
165.9117167829747,Real
137.6025622024998,Real
146.859779120948,Real
141.54629078329404,Real
90.0,Real
128.08877288097534,Real
37.1082975717643,Real
40.23635830927382,Real
174.80557109226518,Real
12.52880770915151,Real
143.32565033042684,Real
83.14023999447419,Real
174.86955295234006,Real
167.47119229084848,Real
58.57043438516149,Real
174.28940686250036,Real
101.3099324740202,Real
152.10272896905238,Real
115.68814343564733,Real
139.1704365248421,Real
160.6651914621736,Real
128.3407927338632,Real
143.4612881425714,Real
76.80938928779315,Real
140.71059313749964,Real
174.0625839005185,Real
164.35775354279127,Real
178.5750257274846,Real
130.42607874009914,Real
153.83843355798078,Real
158.83874018317172,Real
170.8376529542783,Real
160.5599651718238,Real
107.40270413135627,Real
99.78801711496895,Real
139.57392125990086,Real
164.16025077623706,Real
175.60129464500446,Real
165.96375653207352,Real
154.47030200946696,Real
149.2645122980799,Real
159.3045492659367,Real
127.43857157233303,Real
158.1091125340528,Real
171.86989764584402,Real
110.27110298812691,Real
168.9861671096486,Real
152.26182037161277,Real
120.96375653207355,Real
164.5778386812613,Real
163.30075576600638,Real
123.89616656336392,Real
178.6980473274211,Real
162.27676338311366,Real
130.6012946450045,Real
119.50072462349918,Real
139.9697407281103,Real
128.38874804327924,Real
178.7811247648687,Real
148.8311771298339,Real
173.37294056712756,Real
178.31531568210372,Real
78.99645914825051,Real
131.60507645788172,Real
147.0947570770121,Real
138.01278750418336,Real
111.21677896564665,Real
135.18785434166685,Real
154.28102752266113,Real
104.62087398863166,Real
139.57392125990086,Real
98.95663560791192,Real
155.29756977222868,Real
158.4985656759521,Real
176.22180229283845,Real
167.6609127216738,Real
139.9697407281103,Real
142.84762750468485,Real
127.81946450227983,Real
162.4145144930725,Real
150.2551187030578,Real
174.80557109226518,Real
153.6767017321901,Real
160.65926451696734,Real
106.88679112394405,Real
162.77497499572735,Real
143.13010235415598,Real
142.04203917372942,Real
137.64254529406472,Real
146.3099324740202,Real
137.12109639666144,Real
157.38013505195957,Real
147.52880770915152,Real
125.39479584498706,Real
166.2930389959202,Real
162.89727103094762,Real
111.50143432404789,Real
138.94518622903755,Real
71.56505117707798,Real
173.6598082540901,Real
86.60252314158029,Real
9.830759929322905,Real
57.724355685422374,Real
10.840305454330567,Real
172.68447469560374,Real
110.92450174492116,Real
159.44395478041653,Real
162.4075754378184,Real
163.07248693585296,Real
123.69006752597979,Real
123.6900675259798,Real
169.9506514118751,Real
146.30993247402023,Real
129.6369305799533,Real
163.6104596659652,Real
131.0353452771439,Real
111.03751102542182,Real
154.07509849244556,Real
101.30993247402021,Real
139.27946353024524,Real
83.31068460236594,Real
62.35402463626132,Real
142.80640082923574,Real
111.37062226934319,Real
135.0,Real
166.32869286780416,Real
141.9112271190247,Real
133.66778014613035,Real
149.03624346792648,Real
141.34019174590992,Real
41.18592516570965,Real
166.95436293705137,Real
162.1811110854772,Real
143.56914187983767,Real
151.69924423399362,Real
151.3895403340348,Real
174.53463340336666,Real
64.6538240580533,Real
172.23483398157467,Real
161.565051177078,Real
179.12309225856933,Real
144.46232220802563,Real
153.07797039218974,Real
128.91424888048243,Real
157.78240573048168,Real
173.08877288097534,Real
65.55604521958347,Real
143.82037955202105,Real
130.07656262330377,Real
122.31961650818016,Real
158.7358753394477,Real
161.565051177078,Real
140.71059313749964,Real
144.4007800410238,Real
148.52713510792304,Real
142.12501634890182,Real
143.24344697289433,Real
52.07353767496139,Real
163.92642583525364,Real
119.156917882313,Real
88.61964592655556,Real
146.05145702666542,Real
134.7031333326753,Real
158.7789146594791,Real
160.01689347810003,Real
121.42956561483851,Real
167.9052429229879,Real
155.48577817176871,Real
165.37912601136836,Real
169.36523906125967,Real
163.6104596659652,Real
118.81079374297306,Real
161.43687291325443,Real
138.94518622903755,Real
132.19754848013324,Real
129.47245984834382,Real
136.33221985386965,Real
96.70983680775691,Real
159.81419699053515,Real
180.0,Real
180.0,Real
132.38045120460532,Real
143.13010235415598,Real
105.25511870305778,Real
173.1909498203866,Real
175.2363583092738,Real
177.35745470593528,Real
176.56636963754949,Real
168.69006752597977,Real
164.19748604606445,Real
165.89464223566475,Real
69.62356478616357,Real
179.48844413341297,Real
143.9726266148964,Real
162.47443162627712,Real
123.04812486997523,Real
152.969139740157,Real
150.25511870305778,Real
174.7341596882209,Real
107.40270413135629,Real
117.34987578006988,Real
111.467651439099,Real
173.8298249049704,Real
164.19748604606448,Real
172.87498365109818,Real
152.31893843151474,Real
137.76385737091258,Real
179.534190917235,Real
135.0,Real
145.35905248808373,Real
175.6617332085718,Real
142.64040676102675,Real
175.6012946450045,Real
164.156917882313,Real
178.45184230102203,Real
155.72972674069055,Real
161.19676381903787,Real
158.7957455156856,Real
112.75097634278764,Real
123.76754655855456,Real
156.92177859395917,Real
113.96248897457818,Real
153.434948822922,Real
165.0585660772944,Real
180.0,Real
148.0456370629486,Real
122.69946112100192,Real
171.76902489880968,Real
177.3511942405414,Real
176.6335393365702,Real
160.6370676993879,Real
170.36246188706903,Real
135.0,Real
176.58341180822865,Real
115.6651914621736,Real
157.61986494804043,Real
149.8210680709184,Real
124.05009012745133,Real
178.09876353538556,Real
114.77514056883193,Real
76.26373169437744,Real
169.24903300681197,Real
134.54164354199958,Real
155.44954761079256,Real
107.81888891452277,Real
78.47627829610266,Real
166.5347919051883,Real
147.3390872783262,Real
103.4161834818409,Real
154.65382405805332,Real
137.64254529406472,Real
169.57928760320547,Real
138.54476645559487,Real
95.9061411137705,Real
45.81457704975972,Real
171.0273733851036,Real
163.92115143781726,Real
136.62114591365338,Real
141.45555221991665,Real
164.05460409907712,Real
149.5564243200743,Real
12.994616791916503,Real
158.8125657768093,Real
34.38034472384487,Real
175.30131948270056,Real
140.07960786001456,Real
149.67639313745002,Real
118.41266144307257,Real
155.22485943116808,Real
156.9797152785169,Real
142.1250163489018,Real
167.25108547359855,Real
153.5221569435727,Real
110.6589100633075,Real
171.2538377374448,Real
156.31791227546157,Real
157.89726312154656,Real
121.91859778594572,Real
180.0,Real
115.70501746829541,Real
166.32869286780416,Real
179.05043314356416,Real
177.70938995736148,Real
135.0,Real
164.9315118405078,Real
71.56505117707798,Real
168.69006752597977,Real
178.21008939175394,Real
158.38522105721376,Real
159.44395478041653,Real
138.1221304621157,Real
95.59933933652057,Real
46.909152432996365,Real
133.31531568210372,Real
110.18580300946486,Real
123.17851165939277,Real
102.9946167919165,Real
152.11971556194723,Real
136.3859178508122,Real
164.74488129694222,Real
171.86989764584402,Real
173.6598082540901,Real
176.6514051855431,Real
135.62959860841025,Real
167.29597638594316,Real
138.45872431880642,Real
104.03624346792648,Real
153.89981310118347,Real
128.30577086810683,Real
49.0444855741811,Real
154.65382405805332,Real
137.86240522611175,Real
164.51583028608434,Real
169.38034472384487,Real
157.83365417791754,Real
153.434948822922,Real
178.81269268427118,Real
153.6717068948291,Real
176.8778695378843,Real
179.762259540707,Real
168.05582281155367,Real
157.38013505195957,Real
171.2538377374448,Real
152.20657258804144,Real
156.61477894278624,Real
120.7932338822396,Real
173.38653951768524,Real
156.95440185841738,Real
168.3741013566914,Real
160.76932762433873,Real
98.57299836361139,Real
165.0231640604579,Real
132.87890360333856,Real
128.0996718307227,Real
154.3845156793578,Real
167.5740571345725,Real
84.87868348922137,Real
136.57655005518373,Real
164.74488129694222,Real
173.2670786731404,Real
163.6104596659652,Real
116.56505117707799,Real
105.25511870305779,Real
174.67425937523228,Real
162.98531672347704,Real
134.28828779396432,Real
176.2194314656989,Real
166.32869286780416,Real
155.06570489742342,Real
156.80140948635182,Real
169.14358665193777,Real
171.2926297284796,Real
127.40535663140855,Real
167.61153684669148,Real
161.565051177078,Real
144.7914785611034,Real
70.01689347809997,Real
159.07549825507886,Real
156.46288592471979,Real
117.40757543781842,Real
158.19859051364818,Real
155.22485943116808,Real
91.00508600525419,Real
175.2363583092738,Real
179.53037298031035,Real
176.26860300083953,Real
138.17983011986425,Real
116.2530990172167,Real
119.74488129694222,Real
165.96375653207352,Real
154.65382405805332,Real
130.6012946450045,Real
178.00390411399047,Real
169.69515353123398,Real
137.72631099390625,Real
174.57940471623763,Real
168.23171106797935,Real
37.31601817026604,Real
123.04812486997523,Real
177.87890360333856,Real
166.2930389959202,Real
75.7354877019201,Real
87.51044707800085,Real
166.65716630157695,Real
26.565051177077994,Real
172.54570118725152,Real
99.21102654081665,Real
152.14761988139696,Real
125.81608074915562,Real
133.99048721738362,Real
168.55354090706146,Real
84.80557109226521,Real
141.2674814048493,Real
171.7028550301631,Real
122.34744349944204,Real
161.0193935836623,Real
160.34617594194668,Real
164.74488129694222,Real
167.1419098270018,Real
154.76373635309645,Real
133.99491399474581,Real
142.94347181059038,Real
43.298645394673876,Real
152.11297316338502,Real
125.53767779197437,Real
120.62358202485389,Real
132.47388308838046,Real
121.80938928779315,Real
64.65382405805332,Real
169.09497795476554,Real
109.38451567935783,Real
153.434948822922,Real
98.56914187983767,Real
145.7842978675626,Real
133.9190758133393,Real
131.67259575827342,Real
175.6012946450045,Real
176.98721249581664,Real
100.30484646876603,Real
145.2733306416293,Real
122.52489028779105,Real
144.85132734280808,Real
162.1702657743228,Real
166.36688641100815,Real
124.50852298766841,Real
179.82845626253845,Real
171.99001440805395,Real
124.14358665193775,Real
148.09984308226626,Real
78.801973203046,Real
145.76253722314246,Real
112.94356647296064,Real
142.80640082923574,Real
141.11550356628544,Real
153.434948822922,Real
135.0,Real
145.13780385308513,Real
130.2363583092738,Real
174.71875937155488,Real
139.3987053549955,Real
121.82744657667308,Real
172.44093301895882,Real
171.32682595212023,Real
108.43494882292204,Real
135.61605990839922,Real
149.62087398863164,Real
165.32360686254998,Real
90.0,Real
115.63265245222377,Real
165.5297058999341,Real
122.47119229084848,Real
148.91249467652,Real
54.86580694308441,Real
154.23067237566127,Real
175.9555144258189,Real
146.53462065364468,Real
154.21977342591387,Real
169.96687944566884,Real
134.42706130231653,Real
158.08002724881362,Real
115.46334506187162,Real
129.28940686250036,Real
