experiment,cell_name,method,trueBrlen,estBrlen,character
s20c6,b'1_1',spalin,0.0,1.0,k10_r1_
s20c6,b'47_1',spalin,46.0,12.77036655886918,k10_r1_
s20c6,b'156_1',spalin,109.0,132.41113013384933,k10_r1_
s20c6,b'210_3',spalin,54.0,49.078025594275864,k10_r1_
s20c6,b'216_4',spalin,6.0,19.75047771655772,k10_r1_
s20c6,b'216_3',spalin,6.0,19.75047771655772,k10_r1_
s20c6,b'201_1',spalin,45.0,33.12515292916978,k10_r1_
s20c6,b'216_2',spalin,15.0,35.70335038166382,k10_r1_
s20c6,b'216_1',spalin,15.0,35.70335038166382,k10_r1_
s20c6,b'104_3',spalin,57.0,110.1381168434173,k10_r1_
s20c6,b'166_5',spalin,62.0,32.1894190747655,k10_r1_
s20c6,b'216_9',spalin,50.0,58.91209752650011,k10_r1_
s20c6,b'216_8',spalin,50.0,58.91209752650011,k10_r1_
s20c6,b'157_6',spalin,53.0,69.3786275908134,k10_r1_
s20c6,b'216_11',spalin,59.0,21.722889010452207,k10_r1_
s20c6,b'216_10',spalin,59.0,21.722889010452207,k10_r1_
s20c6,b'46_2',spalin,45.0,31.58541337900351,k10_r1_
s20c6,b'176_10',spalin,130.0,122.00884079194812,k10_r1_
s20c6,b'216_13',spalin,40.0,60.41574583260048,k10_r1_
s20c6,b'216_12',spalin,40.0,60.41574583260048,k10_r1_
s20c6,b'89_4',spalin,43.0,1.0,k10_r1_
s20c6,b'216_16',spalin,127.0,181.4245866250794,k10_r1_
s20c6,b'216_19',spalin,127.0,181.4245866250794,k10_r1_
s20c6,b'1_1',spalin-divide-beta1,0.0,1.0000000063838872,k10_r1_
s20c6,b'47_1',spalin-divide-beta1,46.0,12.171364683980384,k10_r1_
s20c6,b'156_1',spalin-divide-beta1,109.0,134.33094840677842,k10_r1_
s20c6,b'210_3',spalin-divide-beta1,54.0,48.965371850879755,k10_r1_
s20c6,b'216_4',spalin-divide-beta1,6.0,18.542315057685364,k10_r1_
s20c6,b'216_3',spalin-divide-beta1,6.0,18.542315057685364,k10_r1_
s20c6,b'201_1',spalin-divide-beta1,45.0,33.43310609945508,k10_r1_
s20c6,b'216_2',spalin-divide-beta1,15.0,34.07458080911004,k10_r1_
s20c6,b'216_1',spalin-divide-beta1,15.0,34.07458080911004,k10_r1_
s20c6,b'104_3',spalin-divide-beta1,57.0,112.32558104401652,k10_r1_
s20c6,b'166_5',spalin-divide-beta1,62.0,31.804980061702377,k10_r1_
s20c6,b'216_9',spalin-divide-beta1,50.0,57.70807420962466,k10_r1_
s20c6,b'216_8',spalin-divide-beta1,50.0,57.70807420962466,k10_r1_
s20c6,b'157_6',spalin-divide-beta1,53.0,69.3548688370807,k10_r1_
s20c6,b'216_11',spalin-divide-beta1,59.0,20.158185434246338,k10_r1_
s20c6,b'216_10',spalin-divide-beta1,59.0,20.158185434246338,k10_r1_
s20c6,b'46_2',spalin-divide-beta1,45.0,31.22344435258275,k10_r1_
s20c6,b'176_10',spalin-divide-beta1,130.0,120.6780926048962,k10_r1_
s20c6,b'216_13',spalin-divide-beta1,40.0,62.10846304184501,k10_r1_
s20c6,b'216_12',spalin-divide-beta1,40.0,62.10846304184501,k10_r1_
s20c6,b'89_4',spalin-divide-beta1,43.0,1.0000000013157797,k10_r1_
s20c6,b'216_16',spalin-divide-beta1,127.0,181.78655564542544,k10_r1_
s20c6,b'216_19',spalin-divide-beta1,127.0,181.78655564542544,k10_r1_
s20c6,b'1_1',spalin-divide-beta3,0.0,1.0,k10_r1_
s20c6,b'47_1',spalin-divide-beta3,46.0,10.664792880226365,k10_r1_
s20c6,b'156_1',spalin-divide-beta3,109.0,139.16444892862654,k10_r1_
s20c6,b'210_3',spalin-divide-beta3,54.0,48.62827922623322,k10_r1_
s20c6,b'216_4',spalin-divide-beta3,6.0,15.552478991656312,k10_r1_
s20c6,b'216_3',spalin-divide-beta3,6.0,15.552478991656312,k10_r1_
s20c6,b'201_1',spalin-divide-beta3,45.0,33.72552553784927,k10_r1_
s20c6,b'216_2',spalin-divide-beta3,15.0,30.45523268004025,k10_r1_
s20c6,b'216_1',spalin-divide-beta3,15.0,30.45523268004025,k10_r1_
s20c6,b'104_3',spalin-divide-beta3,57.0,117.56865192816842,k10_r1_
s20c6,b'166_5',spalin-divide-beta3,62.0,30.819245325690524,k10_r1_
s20c6,b'216_9',spalin-divide-beta3,50.0,54.95730989265711,k10_r1_
s20c6,b'216_8',spalin-divide-beta3,50.0,54.95730989265711,k10_r1_
s20c6,b'157_6',spalin-divide-beta3,53.0,69.46983416155217,k10_r1_
s20c6,b'216_11',spalin-divide-beta3,59.0,16.30672105679546,k10_r1_
s20c6,b'216_10',spalin-divide-beta3,59.0,16.30672105679546,k10_r1_
s20c6,b'46_2',spalin-divide-beta3,45.0,30.408517543957068,k10_r1_
s20c6,b'176_10',spalin-divide-beta3,130.0,117.53892030499354,k10_r1_
s20c6,b'216_13',spalin-divide-beta3,40.0,66.0625621777918,k10_r1_
s20c6,b'216_12',spalin-divide-beta3,40.0,66.0625621777918,k10_r1_
s20c6,b'89_4',spalin-divide-beta3,43.0,1.0,k10_r1_
s20c6,b'216_16',spalin-divide-beta3,127.0,182.60148248313953,k10_r1_
s20c6,b'216_19',spalin-divide-beta3,127.0,182.60148248313953,k10_r1_
s20c6,b'1_1',spalin-divide-beta5,0.0,1.0000000000923601,k10_r1_
s20c6,b'47_1',spalin-divide-beta5,46.0,8.605952862344491,k10_r1_
s20c6,b'156_1',spalin-divide-beta5,109.0,145.83050661315147,k10_r1_
s20c6,b'210_3',spalin-divide-beta5,54.0,48.10637625186171,k10_r1_
s20c6,b'216_4',spalin-divide-beta5,6.0,11.467164245363941,k10_r1_
s20c6,b'216_3',spalin-divide-beta5,6.0,11.467164245363941,k10_r1_
s20c6,b'201_1',spalin-divide-beta5,45.0,32.645538347429884,k10_r1_
s20c6,b'216_2',spalin-divide-beta5,15.0,26.928002149795763,k10_r1_
s20c6,b'216_1',spalin-divide-beta5,15.0,26.928002149795763,k10_r1_
s20c6,b'104_3',spalin-divide-beta5,57.0,124.1333332682196,k10_r1_
s20c6,b'166_5',spalin-divide-beta5,62.0,29.426101645084813,k10_r1_
s20c6,b'216_9',spalin-divide-beta5,50.0,51.8446121970727,k10_r1_
s20c6,b'216_8',spalin-divide-beta5,50.0,51.8446121970727,k10_r1_
s20c6,b'157_6',spalin-divide-beta5,53.0,70.18672344399161,k10_r1_
s20c6,b'216_11',spalin-divide-beta5,59.0,11.083990398165882,k10_r1_
s20c6,b'216_10',spalin-divide-beta5,59.0,11.083990398165882,k10_r1_
s20c6,b'46_2',spalin-divide-beta5,45.0,29.457871938646303,k10_r1_
s20c6,b'176_10',spalin-divide-beta5,130.0,113.77217717324764,k10_r1_
s20c6,b'216_13',spalin-divide-beta5,40.0,70.77995086082761,k10_r1_
s20c6,b'216_12',spalin-divide-beta5,40.0,70.77995086082761,k10_r1_
s20c6,b'89_4',spalin-divide-beta5,43.0,1.000000004065266,k10_r1_
s20c6,b'216_16',spalin-divide-beta5,127.0,183.55212803000998,k10_r1_
s20c6,b'216_19',spalin-divide-beta5,127.0,183.55212803000998,k10_r1_
s20c6,b'1_1',spalin-divide-beta7,0.0,1.0,k10_r1_
s20c6,b'47_1',spalin-divide-beta7,46.0,5.950963130690918,k10_r1_
s20c6,b'156_1',spalin-divide-beta7,109.0,154.91263862835186,k10_r1_
s20c6,b'210_3',spalin-divide-beta7,54.0,47.40039627828034,k10_r1_
s20c6,b'216_4',spalin-divide-beta7,6.0,5.746001962679878,k10_r1_
s20c6,b'216_3',spalin-divide-beta7,6.0,5.746001962679878,k10_r1_
s20c6,b'201_1',spalin-divide-beta7,45.0,26.912483226770554,k10_r1_
s20c6,b'216_2',spalin-divide-beta7,15.0,26.23391501418966,k10_r1_
s20c6,b'216_1',spalin-divide-beta7,15.0,26.23391501418966,k10_r1_
s20c6,b'104_3',spalin-divide-beta7,57.0,131.3516715369701,k10_r1_
s20c6,b'166_5',spalin-divide-beta7,62.0,27.517864455937577,k10_r1_
s20c6,b'216_9',spalin-divide-beta7,50.0,49.189500876404445,k10_r1_
s20c6,b'216_8',spalin-divide-beta7,50.0,49.189500876404445,k10_r1_
s20c6,b'157_6',spalin-divide-beta7,53.0,72.90580086789763,k10_r1_
s20c6,b'216_11',spalin-divide-beta7,59.0,3.8015644644444055,k10_r1_
s20c6,b'216_10',spalin-divide-beta7,59.0,3.8015644644444055,k10_r1_
s20c6,b'46_2',spalin-divide-beta7,45.0,28.560256501736728,k10_r1_
s20c6,b'176_10',spalin-divide-beta7,130.0,109.76983090743317,k10_r1_
s20c6,b'216_13',spalin-divide-beta7,40.0,75.67991259083313,k10_r1_
s20c6,b'216_12',spalin-divide-beta7,40.0,75.67991259083313,k10_r1_
s20c6,b'89_4',spalin-divide-beta7,43.0,1.000000000000076,k10_r1_
s20c6,b'216_16',spalin-divide-beta7,127.0,184.4497434982662,k10_r1_
s20c6,b'216_19',spalin-divide-beta7,127.0,184.4497434982662,k10_r1_
s20c6,b'1_1',spalin-divide-beta10,0.0,1.0,k10_r1_
s20c6,b'47_1',spalin-divide-beta10,46.0,4.101980964946746,k10_r1_
s20c6,b'156_1',spalin-divide-beta10,109.0,164.98202931884933,k10_r1_
s20c6,b'210_3',spalin-divide-beta10,54.0,38.83227061577323,k10_r1_
s20c6,b'216_4',spalin-divide-beta10,6.0,6.0937190927333535,k10_r1_
s20c6,b'216_3',spalin-divide-beta10,6.0,6.0937190927333535,k10_r1_
s20c6,b'201_1',spalin-divide-beta10,45.0,5.957867967718292,k10_r1_
s20c6,b'216_2',spalin-divide-beta10,15.0,38.96812174078829,k10_r1_
s20c6,b'216_1',spalin-divide-beta10,15.0,38.96812174078829,k10_r1_
s20c6,b'104_3',spalin-divide-beta10,57.0,125.46794786264216,k10_r1_
s20c6,b'166_5',spalin-divide-beta10,62.0,27.874250283309163,k10_r1_
s20c6,b'216_9',spalin-divide-beta10,50.0,56.56582088140458,k10_r1_
s20c6,b'216_8',spalin-divide-beta10,50.0,56.56582088140458,k10_r1_
s20c6,b'157_6',spalin-divide-beta10,53.0,73.12372833236431,k10_r1_
s20c6,b'216_11',spalin-divide-beta10,59.0,11.316342832349436,k10_r1_
s20c6,b'216_10',spalin-divide-beta10,59.0,11.316342832349436,k10_r1_
s20c6,b'46_2',spalin-divide-beta10,45.0,29.816649131377158,k10_r1_
s20c6,b'176_10',spalin-divide-beta10,130.0,111.44592583461443,k10_r1_
s20c6,b'216_13',spalin-divide-beta10,40.0,72.74742502631105,k10_r1_
s20c6,b'216_12',spalin-divide-beta10,40.0,72.74742502631105,k10_r1_
s20c6,b'89_4',spalin-divide-beta10,43.0,1.0000000034165524,k10_r1_
s20c6,b'216_16',spalin-divide-beta10,127.0,183.19335085750893,k10_r1_
s20c6,b'216_19',spalin-divide-beta10,127.0,183.19335085750893,k10_r1_
s20c6,b'1_1',problin,0.0,1.0,k10_r2_
s20c6,b'47_1',problin,46.0,1.0,k10_r2_
s20c6,b'156_1',problin,109.0,184.70677710565081,k10_r2_
s20c6,b'210_3',problin,54.0,27.303222872010043,k10_r2_
s20c6,b'216_4',problin,6.0,1.000000000118153,k10_r2_
s20c6,b'216_3',problin,6.0,1.0000000001181528,k10_r2_
s20c6,b'201_1',problin,45.0,27.30322287213657,k10_r2_
s20c6,b'216_2',problin,15.0,1.0,k10_r2_
s20c6,b'216_1',problin,15.0,1.0,k10_r2_
s20c6,b'104_3',problin,57.0,109.57059568619309,k10_r2_
s20c6,b'166_5',problin,62.0,68.82295342533239,k10_r2_
s20c6,b'216_9',problin,50.0,34.61645086625355,k10_r2_
s20c6,b'216_8',problin,50.0,34.61645086625355,k10_r2_
s20c6,b'157_6',problin,53.0,73.7994412713948,k10_r2_
s20c6,b'216_11',problin,59.0,29.63996302019112,k10_r2_
s20c6,b'216_10',problin,59.0,29.63996302019112,k10_r2_
s20c6,b'46_2',problin,45.0,22.74972627504929,k10_r2_
s20c6,b'176_10',problin,130.0,160.6901017473142,k10_r2_
s20c6,b'216_13',problin,40.0,30.570171952215887,k10_r2_
s20c6,b'216_12',problin,40.0,30.570171952215887,k10_r2_
s20c6,b'89_4',problin,43.0,102.88536381221034,k10_r2_
s20c6,b'216_16',problin,127.0,88.37490988731975,k10_r2_
s20c6,b'216_19',problin,127.0,88.37490988731975,k10_r2_
s20c6,b'1_1',spalin-spatialonly,0.0,113.53424395480721,k10_r2_
s20c6,b'47_1',spalin-spatialonly,46.0,1.0000000000000027,k10_r2_
s20c6,b'156_1',spalin-spatialonly,109.0,65.1513292517361,k10_r2_
s20c6,b'210_3',spalin-spatialonly,54.0,24.109685081683676,k10_r2_
s20c6,b'216_4',spalin-spatialonly,6.0,11.209809612362509,k10_r2_
s20c6,b'216_3',spalin-spatialonly,6.0,11.209809612362509,k10_r2_
s20c6,b'201_1',spalin-spatialonly,45.0,30.091836276847065,k10_r2_
s20c6,b'216_2',spalin-spatialonly,15.0,5.227658417199121,k10_r2_
s20c6,b'216_1',spalin-spatialonly,15.0,5.227658417199121,k10_r2_
s20c6,b'104_3',spalin-spatialonly,57.0,89.11522657902698,k10_r2_
s20c6,b'166_5',spalin-spatialonly,62.0,4.524249056021923,k10_r2_
s20c6,b'216_9',spalin-spatialonly,50.0,6.831348310733376,k10_r2_
s20c6,b'216_8',spalin-spatialonly,50.0,6.831348310733376,k10_r2_
s20c6,b'157_6',spalin-spatialonly,53.0,1.3307797782976247,k10_r2_
s20c6,b'216_11',spalin-spatialonly,59.0,10.024817588457674,k10_r2_
