experiment,character,method,est_sigma
s9c3,k50_,sigma15_spalin,1.385468173268146
s9c3,k50_,sigma3_spalin,3.1478495514832
s9c3,k200_,sigma05_spalin,0.447699246655993
s9c3,k200_,sigma15_spalin,1.40388578258257
s9c3,k200_,sigma3_spalin,3.18491133331505
s15c1,k10_,sigma05_spalin,0.4879073694201872
s15c1,k10_,sigma15_spalin,1.357903011900262
s15c1,k10_,sigma3_spalin,3.116296594954149
s15c1,k10_,sigma05_spalin_spatialonly,0.572236718480717
s15c1,k10_,sigma15_spalin_spatialonly,1.713934798799572
s15c1,k10_,sigma3_spalin_spatialonly,3.73256820026107
s15c1,k50_,sigma05_spalin,0.457700261850167
s15c1,k50_,sigma15_spalin,1.28918870367848
s15c1,k50_,sigma3_spalin,3.0549502845434
s15c1,k200_,sigma05_spalin,0.430547698763954
s15c1,k200_,sigma15_spalin,1.208004081565025
s15c1,k200_,sigma3_spalin,2.842457795938
s5c7,k10_,sigma05_spalin,0.573762770317566
s5c7,k10_,sigma15_spalin,1.499854367496518
s5c7,k10_,sigma3_spalin,3.140332132898508
s5c7,k10_,sigma05_spalin_spatialonly,0.579273758267831
s5c7,k10_,sigma15_spalin_spatialonly,1.327634837263076
s5c7,k10_,sigma3_spalin_spatialonly,3.387716373777123
s5c7,k50_,sigma05_spalin,0.521199998489326
s5c7,k50_,sigma15_spalin,1.32410795637501
s5c7,k50_,sigma3_spalin,2.690729280552472
s5c7,k200_,sigma05_spalin,0.538552224032089
s5c7,k200_,sigma15_spalin,1.374616102950675
s5c7,k200_,sigma3_spalin,2.835943103471586
s19c2,k10_,sigma05_spalin,0.4287045012201592
s19c2,k10_,sigma15_spalin,1.536589072498048
s19c2,k10_,sigma3_spalin,3.480112579077722
s19c2,k10_,sigma05_spalin_spatialonly,0.343756210318235
s19c2,k10_,sigma15_spalin_spatialonly,1.40256209694223
s19c2,k10_,sigma3_spalin_spatialonly,2.698422822546375
s19c2,k50_,sigma05_spalin,0.4154738969758114
s19c2,k50_,sigma15_spalin,1.552836743535262
s19c2,k50_,sigma3_spalin,3.280909222440607
s19c2,k200_,sigma05_spalin,0.404112320167782
s19c2,k200_,sigma15_spalin,1.427061125353727
s19c2,k200_,sigma3_spalin,3.03389972729678
s7c3,k10_,sigma05_spalin,0.520131470497166
s7c3,k10_,sigma15_spalin,1.191183332175746
s7c3,k10_,sigma3_spalin,4.03808357319477
s7c3,k10_,sigma05_spalin_spatialonly,0.522580145306651
s7c3,k10_,sigma15_spalin_spatialonly,0.823592496162424
s7c3,k10_,sigma3_spalin_spatialonly,4.30779337285161
s7c3,k50_,sigma05_spalin,0.501590334511335
s7c3,k50_,sigma15_spalin,1.31059150916015
s7c3,k50_,sigma3_spalin,3.934287681363741
s7c3,k200_,sigma05_spalin,0.548673101692442
s7c3,k200_,sigma15_spalin,1.341621223764847
s7c3,k200_,sigma3_spalin,4.16232117381107
s13c2,k10_,sigma05_spalin,0.579056874811384
s13c2,k10_,sigma15_spalin,1.388575111686572
s13c2,k10_,sigma3_spalin,3.35770642490492
