pos_1,pos_2,progenitor,descendants
99,251,1,1
89,232,2,2
52,251,3,3
100,209,4,4
100,235,5,5
95,222,6,6
82,221,7,7
112,197,8,8
179,308,9,9
182,289,10,10
182,260,11,11
168,245,12,12
126,228,13,13
118,217,14,14
176,178,15,15
183,165,16,16
169,323,17,17
161,295,18,18
169,286,19,19
176,271,20,20
131,275,21,21
109,246,22,22
158,257,23,23
120,241,24,24
150,284,25,25
133,287,26,26
154,274,27,27
166,263,28,28
131,239,29,29
160,235,30,30
189,242,31,31
170,231,32,32
139,220,33,33
159,225,34,34
168,213,34,35
129,210,35,36
140,191,36,37
158,189,37,38
182,219,38,39
183,200,39,40
203,251,40,41
201,231,41,42
205,217,42,43
191,192,43,44
