pos_1,pos_2,progenitor,descendants_1,descendants_2
100,253,1,1,
92,231,2,2,
76,235,3,3,
102,210,4,4,
106,239,5,5,
101,222,6,6,
88,215,7,7,
116,198,8,8,
182,308,9,9,
183,296,10,10,
178,261,11,11,
164,253,12,12,
131,232,13,13,
124,214,14,14,
182,189,15,15,
184,172,16,16,
171,319,17,17,
157,294,18,18,
169,295,19,19,
175,271,20,20,
125,273,21,21,
116,245,22,22,
152,260,23,23,
132,251,24,24,
145,295,25,25,
128,284,26,26,
153,284,27,27,
165,265,28,28,
143,240,29,29,
164,241,29,30,
180,235,30,31,
140,223,31,32,
164,226,32,33,
138,205,33,34,
158,184,34,35,
181,208,35,36,
197,239,36,37,38
200,216,37,39,
200,199,37,40,
