pos_1,pos_2,progenitor,descendants
99,252,1,1
89,232,2,2
60,253,3,3
103,209,4,4
107,230,5,5
96,218,6,6
81,224,7,7
112,196,8,8
179,309,9,9
186,289,10,10
182,260,11,11
166,249,12,12
126,228,13,13
116,218,14,14
178,175,15,15
186,164,16,16
168,325,17,17
161,294,18,18
172,285,19,19
180,269,20,20
130,273,21,21
110,243,22,22
159,260,23,23
120,241,24,24
150,286,25,25
133,287,26,26
154,274,27,27
166,266,28,28
133,242,29,29
157,235,30,30
190,240,31,31
170,232,32,32
139,220,33,33
157,225,34,34
166,209,35,35
129,210,36,36
140,190,37,37
158,189,38,38
180,221,39,39
182,198,40,40
203,247,41,41
201,231,42,42
204,217,43,43
191,190,44,44
