pos_1,pos_2,progenitor,descendants_1,descendants_2
97,251,1,1,
89,232,2,2,
54,247,3,3,
95,208,4,4,
104,238,5,5,
98,221,6,6,
83,219,7,7,
114,197,8,8,
183,312,9,9,
183,295,10,10,
177,257,11,11,
165,249,12,12,
129,229,13,13,
123,214,14,14,
180,188,15,15,
183,165,16,16,
172,322,17,17,
160,292,18,18,
170,288,19,19,
178,271,20,20,
131,273,21,21,
110,245,22,22,
154,260,23,23,
124,242,24,24,
151,290,25,25,
135,284,26,26,
155,282,27,27,
166,264,28,28,
137,241,29,29,
166,235,30,30,
187,246,31,31,
174,230,32,32,
140,222,33,33,
164,220,34,34,
133,202,35,35,36
155,188,36,37,
180,219,37,38,
178,204,37,39,
203,251,38,40,
205,227,39,41,
205,217,40,42,
196,193,41,43,
