pos_1,pos_2,progenitor,descendants_1,descendants_2
104,255,1,1,
91,234,2,2,
81,222,3,3,
104,214,4,4,
115,249,5,5,
101,226,6,6,
93,209,7,7,
114,202,8,8,
185,303,9,9,
183,288,9,10,
168,258,10,11,
135,233,11,12,
127,215,12,13,
182,196,13,14,
189,174,14,15,
168,307,15,16,
160,297,15,17,
166,285,16,18,
174,272,16,19,
128,277,17,20,
125,256,18,21,
149,264,19,22,
137,249,19,23,
137,285,20,24,25
160,267,21,26,
155,236,22,27,
179,237,23,28,
149,222,24,29,
164,227,25,30,
143,207,26,31,
158,188,27,32,
185,218,28,33,
197,233,29,34,
198,214,30,35,
