pos_1,pos_2,progenitor,descendants_1,descendants_2
100,253,1,1,
93,229,2,2,
79,226,3,3,
107,209,4,4,
111,247,5,5,
101,220,6,6,
91,210,7,7,
116,199,8,8,
182,308,9,9,
180,294,10,10,
178,261,11,11,
164,250,12,12,
135,235,13,13,
124,214,14,14,
184,191,15,15,
184,172,16,16,
169,317,17,17,
158,291,18,18,
168,291,19,19,
174,268,20,20,
122,278,21,21,
118,249,22,22,
150,262,23,23,
133,249,24,24,
145,291,25,25,
128,285,26,26,
162,271,27,27,28
153,236,28,29,
179,237,29,30,
144,225,30,31,
164,227,31,32,
138,206,32,33,
158,189,33,34,
182,210,34,35,
195,238,35,36,
195,204,36,37,
