pos_1,pos_2,progenitor,descendants
97,251,1,1
89,233,2,2
49,251,3,3
94,208,4,4
104,238,5,5
95,222,6,6
82,221,7,7
110,200,8,8
183,312,9,9
184,294,10,10
180,258,11,11
165,249,12,12
127,228,13,13
121,215,14,14
180,188,15,15
183,165,16,16
171,323,17,17
160,292,18,18
170,287,19,19
177,272,20,20
131,273,21,21
110,247,22,22
158,261,23,23
124,242,24,24
153,289,25,25
134,285,26,26
155,281,27,27
166,264,28,28
133,239,29,29
162,235,30,30
187,244,31,31
174,230,32,32
139,222,33,33
164,220,34,34
133,206,35,35
136,198,35,36
155,188,36,37
181,219,37,38
180,201,38,39
203,251,39,40
202,226,40,41
205,217,41,42
196,193,42,43
