pos_1,pos_2,progenitor,descendants_1,descendants_2
100,252,1,1,
92,231,2,2,
71,237,3,3,
98,210,4,4,
106,239,5,5,
101,221,6,6,
88,215,7,7,
112,196,8,8,
182,309,9,9,
183,296,10,10,
177,257,11,11,
164,253,12,12,
131,232,13,13,
124,214,14,14,
182,189,15,15,
183,172,16,16,
172,319,17,17,
157,294,18,18,
169,295,19,19,
176,271,20,20,
125,273,21,21,
116,245,22,22,
154,259,23,23,
132,251,24,24,
145,297,25,25,
128,284,26,26,
150,281,27,27,
165,265,28,28,
138,240,29,29,
164,241,30,30,
178,239,31,31,32
141,223,32,33,
165,227,33,34,
137,204,34,35,
158,184,35,36,
176,210,36,37,
203,247,37,38,
203,230,37,39,
199,218,38,40,
199,194,39,41,
