pos_1,pos_2,progenitor,descendants
102,252,1,1
92,231,2,2
59,246,3,3
98,207,4,4
106,239,5,5
101,221,6,6
85,218,7,7
114,197,8,8
182,309,9,9
183,296,10,10
177,257,11,11
165,252,12,12
131,232,13,13
123,214,14,14
181,189,15,15
184,172,16,16
172,320,17,17
157,294,18,18
170,293,19,19
176,271,20,20
128,275,21,21
114,243,22,22
154,260,23,23
127,244,24,24
145,297,25,25
130,284,26,26
150,281,27,27
166,264,28,28
137,240,29,29
165,239,30,30
187,244,31,31
174,232,31,32
142,222,32,33
165,225,33,34
137,204,34,35
158,188,35,36
176,211,36,37
203,247,37,38
204,228,38,39
199,219,39,40
196,193,40,41
