pos_1,pos_2,progenitor,descendants
97,254,1,
92,237,2,
50,259,3,
102,207,4,
103,235,5,
94,220,6,
81,237,7,
116,193,8,
179,317,9,
192,293,10,
185,267,11,
158,250,12,
129,231,13,
115,215,14,
177,172,15,
187,157,16,
168,327,17,
158,299,18,
174,294,19,
183,282,20,
128,275,21,
108,250,22,
157,264,23,
120,239,24,
144,289,25,
128,291,26,
147,276,27,
171,271,28,
135,243,29,
156,238,30,
189,238,31,
169,225,32,
135,221,33,
149,208,34,
159,228,35,
166,207,36,
128,213,37,
137,188,38,
148,193,39,
164,190,40,
186,223,41,
179,197,42,
204,253,43,
201,227,44,
202,217,45,
188,188,46,
