pos_1,pos_2,progenitor,descendants
98,251,1,1
89,233,2,2
49,251,3,3
91,208,4,4
100,235,5,5
95,222,6,6
82,221,7,7
110,200,8,8
183,312,9,9
183,289,10,10
182,259,11,11
169,246,12,12
126,227,13,13
120,216,14,14
178,183,15,15
183,165,16,16
170,323,17,17
160,292,18,18
170,286,19,19
177,272,20,20
132,273,21,21
110,247,22,22
158,261,23,23
124,242,24,24
153,285,25,25
133,287,26,26
156,280,27,27
168,264,28,28
133,239,29,29
162,235,30,30
187,242,31,31
170,231,32,32
139,222,33,33
164,220,34,34
131,207,35,35
138,195,36,36
157,189,37,37
181,219,38,38
180,201,39,39
203,251,40,40
201,227,41,41
205,217,42,42
195,193,43,43
