pos_1,pos_2,progenitor,descendants_1,descendants_2
99,252,1,1,
91,234,2,2,
58,250,3,3,
103,204,4,4,
107,229,5,5,
95,218,6,6,
81,226,7,7,
114,194,8,8,
176,315,9,9,
192,288,10,10,
185,261,11,11,
164,249,12,12,
128,230,13,13,
116,218,14,14,
178,172,15,15,
187,164,16,16,
165,325,17,17,
155,297,18,18,
171,290,19,19,
179,276,20,20,
129,274,21,21,
110,242,22,22,
160,262,23,23,
122,239,24,24,
149,287,25,25,
130,289,26,26,
151,274,27,27,
170,265,28,28,
130,247,29,29,
159,238,30,30,
187,240,31,31,
170,231,32,32,
138,218,33,33,34
158,226,34,35,
166,206,35,36,
129,213,36,37,
138,188,37,38,
156,190,38,39,40
181,221,39,41,
180,197,40,42,
202,254,41,43,
201,227,42,44,
202,217,43,45,
188,188,44,46,
