pos_1,pos_2,progenitor,descendants_1,descendants_2
103,255,1,1,
93,227,2,2,
81,223,3,3,
107,210,4,4,
113,253,5,5,
101,222,6,6,
91,210,7,7,
115,199,8,8,
184,308,9,9,
181,291,10,10,
168,255,11,11,12
135,234,12,13,
126,218,13,14,
184,191,14,15,
185,172,15,16,
168,313,16,17,
158,293,17,18,
168,289,18,19,
175,270,19,20,
124,281,20,21,
122,252,21,22,
149,263,22,23,
133,247,23,24,
145,292,24,25,
131,285,25,26,
160,273,26,27,
155,236,27,28,
178,236,28,29,
147,224,29,30,
164,225,30,31,
141,207,31,32,
158,189,32,33,
183,215,33,34,
196,233,34,35,
197,210,35,36,
