pos_1,pos_2,progenitor,descendants
94,253,1,1
91,234,2,2
58,251,3,3
103,204,4,4
101,233,5,5
95,217,6,6
83,226,7,7
116,193,8,8
178,319,9,9
192,288,10,10
185,264,11,11
162,250,12,12
128,230,13,13
115,215,14,14
176,175,15,15
185,161,16,16
165,325,17,17
158,299,18,18
174,294,19,19
178,277,20,20
128,275,21,21
108,247,22,22
160,264,23,23
122,239,24,24
148,288,25,25
129,290,26,26
152,276,27,27
172,267,28,28
132,243,29,29
159,238,30,30
186,240,31,31
170,231,32,32
135,222,33,33
148,209,34,34
158,227,35,35
166,207,36,36
128,213,37,37
138,188,38,38
149,196,39,39
162,190,40,40
182,224,41,41
179,197,42,42
201,252,43,43
201,227,44,44
202,217,45,45
188,188,46,46
