pos_1,pos_2,progenitor,descendants
102,256,1,1
93,229,2,2
81,223,3,3
107,208,4,4
113,253,5,5
101,218,6,6
91,210,7,7
116,199,8,8
184,308,9,9
181,291,10,10
177,260,11,11
162,252,11,12
135,235,12,13
126,218,13,14
184,191,14,15
185,172,15,16
168,314,16,17
158,291,17,18
168,291,18,19
175,268,19,20
121,280,20,21
120,249,21,22
150,262,22,23
133,247,23,24
145,291,24,25
128,285,25,26
160,273,26,27
153,236,27,28
179,236,28,29
147,224,29,30
164,227,30,31
138,206,31,32
158,189,32,33
182,212,33,34
195,238,34,35
195,204,35,36
