pos_1,pos_2,progenitor,descendants
104,255,1,1
93,232,2,2
81,222,3,3
107,210,4,4
115,249,5,5
101,222,6,6
93,209,7,7
115,199,8,8
184,308,9,9
181,291,10,10
169,257,11,11
135,233,12,12
127,215,13,13
182,192,14,14
189,171,15,15
168,312,16,16
159,296,17,17
168,288,18,18
175,271,19,19
128,277,20,20
123,255,21,21
149,263,22,22
135,248,23,23
145,292,24,24
129,284,24,25
160,273,25,26
155,236,26,27
178,236,27,28
149,223,28,29
164,227,29,30
141,207,30,31
158,189,31,32
183,215,32,33
196,233,33,34
197,211,34,35
