pos_1,pos_2,progenitor,descendants_1,descendants_2
100,253,1,1,
93,229,2,2,
77,234,3,3,
106,209,4,4,
106,239,5,5,
101,220,6,6,
88,215,7,7,
116,198,8,8,
182,308,9,9,
185,297,10,10,
178,261,11,11,
164,250,12,12,
131,232,13,13,
124,214,14,14,
183,190,15,15,
184,172,16,16,
170,318,17,17,
158,291,18,18,
168,294,19,19,
174,270,20,20,
123,277,21,21,
116,247,22,22,
151,260,23,23,
133,249,24,24,
146,291,25,25,
128,285,26,26,
155,280,27,27,
164,268,27,28,
152,240,28,29,30
179,235,29,31,
141,223,30,32,
164,226,31,33,
138,205,32,34,
158,189,33,35,
181,208,34,36,
195,238,35,37,
198,207,36,38,39
