cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_8,1,1,0,2,1,1,1,2,2,0
216_7,1,1,0,2,1,1,1,2,2,0
216_6,1,1,0,2,1,2,1,2,2,0
216_5,1,1,1,2,1,2,1,2,2,0
216_4,1,1,2,1,1,2,1,0,2,0
216_3,1,1,2,1,1,2,1,0,2,0
216_2,1,1,2,0,1,1,1,0,2,1
216_1,1,1,2,0,1,0,1,0,2,1
216_16,1,1,2,0,2,1,1,1,1,2
216_15,1,1,2,2,2,1,1,1,1,2
216_14,1,1,2,0,2,0,1,1,1,2
216_13,1,1,2,0,2,0,1,1,1,2
216_12,1,1,1,2,1,0,1,0,1,0
216_10,1,1,0,0,2,0,1,0,1,0
216_9,1,1,0,1,2,0,1,0,1,0
216_33,1,1,2,2,2,2,0,2,1,0
216_31,1,2,2,0,0,2,0,2,1,0
216_29,1,1,2,0,0,2,0,2,1,2
216_28,1,1,2,0,0,2,0,2,1,2
216_25,1,1,2,2,0,0,2,2,0,1
216_24,1,1,2,2,0,0,2,2,0,1
216_27,1,1,2,2,0,0,0,2,2,1
216_26,1,1,2,2,0,0,0,2,2,1
216_23,1,1,2,2,1,0,2,2,1,2
216_18,1,1,2,0,1,2,0,2,1,0
216_17,1,1,2,0,1,2,0,2,1,0
