[&R] (((((216_5:0,216_6:0)211_5:0,(216_7:0,216_8:0)211_6:0)173_4:0.06,(216_9:1.04,216_10:0.04)176_6:1.02)124_2:4.69,((216_3:0.032,216_4:2.032)171_2:0.139,(216_1:1.178,216_2:1.178)176_1:2.993)126_1:2.578)57_1:1.25)I0;
I0,0,0,0,0,0,0,0,0,0,0
57_1,0,0,0,0,0:0.37/2:0.63,0,0,0:0.37/1:0.63,0,0
126_1,0:0.06/1:0.94,0,0,0,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0:0.06/1:0.94,0
176_1,1,0,0:0.06/1:0.94,0,2,0:0.06/1:0.94,0,1,1,0:0.06/1:0.94
216_2,1,0,1,1,2,1,0,1,1,1
216_1,1,1,1,0,2,1,0,1,1,1
171_2,0:0.01/1:0.99,0,0,0,2,0,0,1,0:0.01/1:0.99,0
216_4,1,0,0,0,2,0,2,1,1,1
216_3,1,0,0,0,2,0,0,1,1,0
124_2,0,0:0.01/2:0.99,0,0:0.01/2:0.99,2,0:0.01/1:0.99,0:0.01/1:0.99,1,0,0
176_6,0,2,0,2,2,1,1,1,0,0:0.04/2:0.96
216_10,0,2,0,2,2,1,1,1,0,2
216_9,2,2,0,2,2,1,1,1,0,2
173_4,0,2,0,2,2,1,1,1,0,0
211_6,0,2,0,2,2,1,1,1,0,0
216_8,0,2,0,2,2,1,1,1,0,0
216_7,0,2,0,2,2,1,1,1,0,0
211_5,0,2,0,2,2,1,1,1,0,0
216_6,0,2,0,2,2,1,1,1,0,0
216_5,0,2,0,2,2,1,1,1,0,0
