pos_1,pos_2,progenitor,descendants_1,descendants_2
262,383,1,1,
251,382,1,2,
267,362,2,3,4
259,350,3,5,
242,322,4,6,
273,349,5,7,
288,333,6,8,
252,333,7,9,
281,321,8,10,
298,338,9,11,
301,308,10,12,
286,309,11,13,
268,300,12,14,
318,380,13,15,
331,373,13,16,
315,362,14,17,
306,353,14,18,
303,394,15,19,
310,392,15,20,
280,383,16,21,
327,355,17,22,23
306,328,18,24,
316,313,19,25,
285,345,20,26,
270,337,21,27,
297,349,22,28,
318,332,23,29,
333,316,24,30,
326,299,25,31,
298,292,26,32,
325,289,27,33,
