pos_1,pos_2,progenitor,descendants_1,descendants_2
266,386,1,1,
248,377,2,2,
260,366,3,3,
273,359,4,4,
247,354,5,5,
263,348,5,6,
242,326,6,7,8
275,348,7,9,
290,331,8,10,
254,328,9,11,
281,321,10,12,
300,338,11,13,
301,308,12,14,
286,309,13,15,
266,296,14,16,
314,375,15,17,
332,375,16,18,
317,364,17,19,
305,354,18,20,
296,394,19,21,
313,390,20,22,
280,383,21,23,
338,358,22,24,
324,348,23,25,
306,323,24,26,
316,313,25,27,
287,342,26,28,
270,335,27,29,
299,346,28,30,
317,332,29,31,
332,316,30,32,
326,299,31,33,
298,292,32,34,
325,289,33,35,
