pos_1,pos_2,progenitor,descendants
266,382,1,1
248,377,2,2
260,366,3,3
274,357,4,4
243,354,5,5
266,345,6,6
234,329,7,7
248,323,7,8
276,347,8,9
290,331,9,10
254,328,10,11
283,320,11,12
304,336,12,13
300,308,13,14
286,309,14,15
266,296,15,16
314,375,16,17
332,375,17,18
317,364,18,19
305,354,19,20
296,394,20,21
313,390,21,22
280,383,22,23
338,358,23,24
324,348,24,25
306,323,25,26
314,310,26,27
287,341,27,28
273,334,28,29
299,346,29,30
317,332,30,31
329,315,31,32
326,299,32,33
298,292,33,34
325,287,34,35
