pos_1,pos_2,progenitor,descendants_1,descendants_2
265,386,1,1,
249,381,2,2,
262,365,3,3,
273,359,3,4,
259,350,4,5,6
241,326,5,7,
273,349,6,8,
288,333,7,9,
252,333,8,10,
281,321,9,11,
300,338,10,12,
301,308,11,13,
286,309,12,14,
266,296,13,15,
314,376,14,16,
332,375,15,17,
315,362,16,18,
306,353,17,19,
298,394,18,20,
313,392,19,21,
280,383,20,22,
336,358,21,23,
324,348,21,24,
306,323,22,25,
316,313,23,26,
287,342,24,27,
270,335,25,28,
297,348,26,29,
318,332,27,30,
332,316,28,31,
326,299,29,32,
298,292,30,33,
325,289,31,34,
