pos_1,pos_2,progenitor,descendants
266,382,1,1
248,377,2,2
260,361,3,3
274,357,4,4
243,354,5,5
262,345,6,6
233,332,7,7
249,320,8,8
277,346,9,9
289,328,10,10
251,331,11,11
282,320,12,12
304,336,13,13
300,308,14,14
280,305,15,15
266,296,16,16
314,375,17,17
332,375,18,18
317,364,19,19
301,354,20,20
296,394,21,21
314,392,22,22
280,383,23,23
342,360,24,24
323,348,25,25
306,323,26,26
313,310,27,27
287,341,28,28
273,334,29,29
301,344,30,30
318,331,31,31
329,315,32,32
326,299,33,33
293,288,34,34
325,287,35,35
