cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,1,0,0,0,0,1,2,0,0,0
I2,1,0,0,0,0,1,2,0,2,0
I3,1,1,1,0,1,1,2,0,2,2
I4,1,1,1,0,1,1,2,2,2,2
216_6,1,1,1,0,1,1,2,2,2,2
216_5,1,1,1,0,1,1,2,2,2,2
I5,1,1,1,0,1,1,2,0,2,2
216_8,1,1,1,0,1,1,2,0,2,2
216_7,1,1,1,0,1,1,2,0,2,2
I6,1,2,1,0,0,1,2,0,2,0
I7,1,2,1,0,0,1,2,1,2,0
216_4,1,2,1,0,0,1,2,1,2,0
216_3,1,2,1,0,2,1,2,1,2,0
I8,1,2,1,0,0,1,2,0,2,1
216_2,1,2,1,0,2,1,2,2,2,1
216_1,1,2,1,0,0,1,2,0,2,1
I9,1,0,1,0,0,1,2,2,0,0
I10,1,0,1,0,0,1,2,2,0,0
216_12,1,0,1,0,0,1,2,2,0,0
I11,1,0,1,0,0,1,2,2,0,0
216_10,1,0,1,1,0,1,2,2,0,0
216_9,1,0,1,0,0,1,2,2,0,0
I12,1,1,1,0,2,1,2,2,2,0
I13,1,1,1,1,2,1,2,2,2,0
216_16,1,1,1,1,2,1,2,2,2,0
216_15,1,1,1,1,2,1,2,2,2,0
I14,1,1,1,0,2,1,2,2,2,0
216_14,1,1,1,0,2,1,2,2,2,0
216_13,1,1,1,0,2,1,2,2,2,0
I15,0,0,2,0,0,0,0,0,2,0
I16,1,0,2,0,2,2,0,0,2,2
I17,1,1,2,2,2,2,0,0,2,2
I18,1,1,2,2,2,2,1,0,2,2
216_34,1,1,2,2,2,2,1,0,2,2
216_33,1,1,2,2,2,2,1,0,2,2
I19,1,1,2,2,2,2,0,0,2,2
216_36,1,1,2,2,2,2,0,0,2,2
216_35,1,1,2,2,2,2,0,0,2,2
I20,1,0,2,2,2,2,1,0,2,2
I21,1,0,2,2,2,2,1,0,2,2
216_44,1,0,2,2,2,2,1,0,2,2
216_43,1,0,2,2,2,2,1,0,2,2
I22,1,0,2,2,2,2,1,0,2,2
216_46,1,0,2,2,2,2,1,0,2,2
216_45,1,0,2,2,2,2,1,0,2,2
I23,0,0,2,0,0,0,0,2,2,0
I24,0,0,2,0,0,2,0,2,2,0
I25,0,0,2,0,0,2,0,2,2,1
I26,0,0,2,1,0,2,0,2,2,1
216_20,0,0,2,1,1,2,0,2,2,1
216_19,0,0,2,1,0,2,0,2,2,1
I27,0,0,2,0,0,2,0,2,2,1
216_18,1,0,2,0,0,2,0,2,2,1
216_17,0,0,2,0,0,2,0,2,2,1
I28,0,0,2,0,2,2,0,2,2,0
I29,2,0,2,0,2,2,0,2,2,0
216_24,2,0,2,1,2,2,0,2,2,0
216_23,2,0,2,0,2,2,0,2,2,0
I30,0,0,2,0,2,2,0,2,2,0
216_22,0,0,2,0,2,2,0,2,2,0
216_21,0,0,2,0,2,2,0,2,2,2
I31,1,0,2,0,0,0,2,2,2,0
I32,1,0,2,0,0,0,2,2,2,0
I33,1,0,2,0,0,0,2,2,2,0
216_32,1,0,2,0,0,0,2,2,2,0
216_31,1,0,2,0,0,0,2,2,2,1
I34,1,0,2,0,0,0,2,2,2,0
216_30,1,0,2,0,1,0,2,2,2,0
216_29,1,0,2,0,0,0,2,2,2,0
I35,1,0,2,0,2,0,2,2,2,0
I36,1,1,2,0,2,2,2,2,2,0
216_28,1,1,2,0,2,2,2,2,2,0
216_27,1,1,2,0,2,2,2,2,2,0
I37,1,0,2,0,2,0,2,2,2,0
216_26,1,0,2,0,2,0,2,2,2,0
216_25,1,0,2,0,2,0,2,2,2,0
Evolve tree: [&R] ((((((216_25:0.09966834189189493,216_26:0.09966834189189493)I37:0.1551417856646113,(216_27:0.08251429874537099,216_28:0.08251429874537099)I36:0.17229582881113523)I35:0.21680459336819252,((216_29:0.07826040190720206,216_30:0.07826040190720206)I34:0.15264949598917138,(216_31:0.06979383206259182,216_32:0.06979383206259182)I33:0.16111606583378163)I32:0.24070482302832533)I31:0.293183953230878,(((216_21:0.11704607916389712,216_22:0.11704607916389712)I30:0.1522910844984661,(216_23:0.10399169158414277,216_24:0.10399169158414277)I29:0.16534547207822045)I28:0.196765400865079,((216_17:0.10399169158414277,216_18:0.10399169158414277)I27:0.16048743388671838,(216_19:0.10399169158414277,216_20:0.10399169158414277)I26:0.16048743388671838)I25:0.2016234390565811)I24:0.2986961096281345)I23:0.30599848224069937,(((216_45:0.07826040190720206,216_46:0.07826040190720206)I22:0.15264949598917138,(216_43:0.07402026117428229,216_44:0.07402026117428229)I21:0.15688963672209114)I20:0.4891034166171044,((216_35:0.044720728399874905,216_36:0.044720728399874905)I19:0.15337249474724612,(216_33:0.020130191961974638,216_34:0.020130191961974638)I18:0.1779630311851464)I17:0.5219200913663568)I16:0.35078384188279843)I15:0.17015087827303288,((((216_13:0.15248434229088492,216_14:0.15248434229088492)I14:0.23829368550863533,(216_15:0.13022793474518954,216_16:0.13022793474518954)I13:0.2605500930543308)I12:0.3229198674903683,((216_9:0.10399169158414277,216_10:0.10399169158414277)I11:0.2401362698433253,216_12:0.34412796142746815)I10:0.36956993386242054)I9:0.3274444068653562,(((216_1:0.17967221023387375,216_2:0.17967221023387375)I8:0.237616194655403,(216_3:0.16601223054136086,216_4:0.16601223054136086)I7:0.25127617434791594)I6:0.2901144937624396,((216_7:0.13022793474518954,216_8:0.13022793474518954)I5:0.265817877313882,(216_5:0.12142580669781664,216_6:0.12142580669781664)I4:0.2746200053612549)I3:0.31135708659264494)I2:0.3337394035035283)I1:0.19980573251406425)I0:0;
