method error
problin 0
problin 17.115464053320075
problin 9.17795212881624
problin 2.6607264802489703
problin 7.6665810987815
problin 23.863233490397224
problin 6.2880538600364275
problin 14.079653654046517
problin 3.4916037307020975
problin 5.797985669322631
problin 10.340556448610469
problin 11.549397015620995
problin 11.735017736865974
problin 8.98775207297341
problin 5.989235039499203
problin 7.388883081216718
problin 20.38180016115483
problin 4.962712392321257
problin 2.1684505947045714
problin 4.927535675755797
problin 5.121456619202848
problin 18.12932677623503
problin 11.803418944447854
problin 11.52699341584627
problin 9.183056631179143
problin 5.376519035718057
problin 7.894019782946225
problin 23.690938760751358
problin 15.33605678026849
problin 12.148936943759011
problin 4.319123692858623
problin 7.341709218146408
problin 4.78624722819545
problin 11.65534326835176
problin 12.664357698009283
problin 8.990722204891192
problin 5.289910921436484
problin 6.078300860972845
problin 20.578056238470577
problin 3.815301233236097
problin 4.600462319458568
problin 3.070646217867978
problin 5.407137542501826
problin 11.15365286213175
problin 11.637194929864444
problin 18.857641277999665
problin 9.945576559537209
problin 3.920736740190676
problin 5.936655734750856
problin 28.087657517628315
problin 6.40495854713249
problin 9.18040676570003
problin 5.158815973335254
problin 16.908442506099004
problin 6.281488346990202
problin 11.453538793543878
problin 12.891404359869245
problin 4.223022021892362
problin 20.204796328869893
problin 9.41426900689184
problin 4.590621150069758
problin 27.9088548481828
problin 2.4955258289652544
problin 5.071230318184224
problin 18.32558744936186
problin 15.828864049987148
problin 8.235312979298284
problin 3.5163969028445696
problin 15.908191499452794
problin 19.660358859599214
problin 9.435395702140477
problin 4.636081448594965
problin 18.857949543906635
problin 2.492617453894325
problin 10.253429358801325
problin 9.662348796842213
problin 10.969675652563561
problin 8.581681252629485
problin 3.565475538527393
problin 4.104981655668965
problin 18.46308447976314
problin 9.434179649088906
problin 4.695743027117577
problin 28.917350127041924
problin 2.453971686584522
problin 5.061827377132582
problin 26.740817610329255
problin 16.649523158216258
problin 8.726770641459384
problin 3.6090114254905683
problin 4.04530848901393
problin 21.783481088672414
problin 2.923808316257179
problin 12.353409553146093
problin 17.965413009564685
problin 8.237352841044382
problin 4.154779824522513
problin 7.242636766915818
problin 11.622703560139188
problin 12.54955312880634
problin 15.185595967932057
problin 4.53167824232404
problin 21.89268403357805
problin 3.0709752483808894
problin 25.409397615671754
problin 17.60519977288586
problin 8.24361629500786
problin 4.117899300704814
problin 7.304217243301844
problin 10.33177310974422
problin 12.489818473544876
