	0
105_4	104
108_1	107
108_2	107
112_5	111
13_1	12
149_8	148
151_7	150
153_2	152
155_1	154
158_5	157
160_8	159
161_10	160
162_7	161
193_15	192
193_3	192
194_14	193
195_5	194
197_20	196
198_2	197
199_1	198
199_8	198
200_20	199
201_11	200
201_14	200
202_17	201
205_14	204
207_13	206
210_21	209
215_23	214
216_1	215
216_10	215
216_11	215
216_12	215
216_13	215
216_14	215
216_15	215
216_16	215
216_17	215
216_18	215
216_19	215
216_2	215
216_20	215
216_21	215
216_22	215
216_23	215
216_24	215
216_25	215
216_26	215
216_27	215
216_28	215
216_29	215
216_3	215
216_30	215
216_31	215
216_32	215
216_4	215
216_5	215
216_6	215
216_7	215
216_8	215
216_9	215
59_1	58
60_3	59
