cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,0,0,0,0,1,0,0,0,0,1
I2,0,2,0,0,1,0,2,0,0,1
216_8,0,2,0,0,1,0,2,0,0,1
216_7,0,2,0,0,1,0,2,0,0,1
I3,2,0,0,0,1,1,1,0,2,1
216_10,2,0,0,0,1,1,1,0,2,1
216_9,2,2,0,0,1,1,1,0,2,1
I4,1,0,2,0,0,0,1,2,0,1
I5,1,0,2,1,2,1,1,2,0,1
216_6,1,0,2,1,2,1,1,2,0,1
216_5,1,0,2,1,2,1,1,2,0,1
I6,1,0,2,0,0,0,1,2,0,1
I7,1,1,2,0,2,2,1,2,0,1
216_2,1,1,2,0,2,2,1,2,0,1
216_1,1,1,2,0,2,2,1,2,0,1
I8,1,0,2,0,2,0,1,2,0,1
216_4,1,0,2,2,2,1,1,2,1,1
216_3,1,0,2,0,2,0,1,2,0,1
Evolve tree: [&R] ((((216_3:0.13269158878504456,216_4:0.13269158878504456)I8:0.3021682242990623,(216_1:0.12358878504672693,216_2:0.12358878504672693)I7:0.31127102803737994)I6:0.3740186915887833,(216_5:0.11906542056074568,216_6:0.11906542056074568)I5:0.6898130841121446)I4:0.3630841121495323,((216_9:0.05770093457943823,216_10:0.05770093457943823)I3:0.2834205607476601,(216_7:0.028392523364485455,216_8:0.028392523364485455)I2:0.31272897196261285)I1:0.830841121495324)I0:0.11803738317757013;
