cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,1,0,0,0,2,2,2,0,1,1
I2,1,0,0,0,2,2,2,0,1,1
216_8,1,0,0,0,2,2,2,0,1,1
216_7,1,0,0,0,2,2,2,0,1,1
I3,1,0,0,0,2,2,2,0,1,1
216_10,1,0,0,0,2,2,2,0,1,1
216_9,1,0,0,0,2,2,2,0,1,1
I4,0,1,0,0,0,0,0,2,0,0
I5,1,1,0,0,2,0,0,2,1,0
216_6,1,1,0,0,2,0,2,2,1,2
216_5,1,1,0,0,2,0,0,2,1,0
I6,0,1,1,0,0,0,2,2,1,0
I7,0,1,1,0,0,0,2,2,1,0
216_2,0,1,1,0,0,0,2,2,1,0
216_1,0,1,1,1,0,0,2,2,1,2
I8,0,1,1,0,0,1,2,2,1,0
216_4,2,1,1,0,0,1,2,2,1,0
216_3,0,1,1,0,0,1,2,2,1,0
Evolve tree: [&R] ((((216_3:0.06956119638257957,216_4:0.06956119638257957)I8:0.18681464046832363,(216_1:0.06456756588627624,216_2:0.06456756588627624)I7:0.191808270964627)I6:0.29728386027888004,(216_5:0.062098776651768134,216_6:0.062098776651768134)I5:0.49156092047801514)I4:0.3736880991229277,((216_9:0.0294162965763624,216_10:0.0294162965763624)I3:0.16439373167144425,(216_7:0.014321081231462463,216_8:0.014321081231462463)I2:0.17948894701634419)I1:0.733537768004904)I0:0.14238262553391984;
