pos_1,pos_2,progenitor,descendants
283,180,1,1
289,161,2,2
303,169,3,3
279,161,4,4
361,160,5,5
321,132,6,6
336,129,7,7
318,144,8,8
267,145,9,9
279,142,9,10
253,138,10,11
255,110,11,12
332,157,12,13
330,144,13,14
346,156,14,15
352,147,15,16
233,167,16,17
247,154,17,18
245,140,18,19
235,140,19,20
173,259,20,21
185,237,21,22
182,248,22,23
207,246,23,24
235,246,24,25
220,244,25,26
237,227,26,27
237,186,27,28
223,164,28,29
212,158,29,30
236,159,30,31
219,131,31,32
287,241,32,33
295,222,33,34
263,213,34,35
257,190,35,36
254,224,36,37
247,205,37,38
267,188,38,39
268,168,39,40
277,192,40,41
286,217,41,42
319,200,42,43
306,183,43,44
323,180,44,45
312,158,45,46
285,144,46,47
270,121,47,48
