pos_1,pos_2,progenitor,descendants_1,descendants_2
282,172,1,1,
279,160,2,2,
288,175,3,3,4
351,171,4,5,
340,143,5,6,
341,132,6,7,
322,137,7,8,
270,148,8,9,
263,134,9,10,
329,151,10,11,
356,149,11,12,
239,179,12,13,
249,159,13,14,
247,144,14,15,
242,141,15,16,
170,252,16,17,18
201,247,17,19,
220,243,18,20,
236,207,19,21,
226,166,20,22,
211,166,21,23,
241,167,22,24,
224,136,23,25,
281,220,24,26,
264,203,25,27,
250,208,26,28,
267,185,27,29,
282,203,28,30,
306,198,29,31,32
313,175,30,33,
279,133,31,34,
