pos_1,pos_2,progenitor,descendants
284,173,1,1
287,158,2,2
301,165,3,3
283,150,4,4
364,157,5,5
311,132,6,6
328,130,7,7
342,132,7,8
321,142,8,9
257,148,9,10
270,142,10,11
255,135,11,12
255,116,12,13
334,149,13,14
331,138,14,15
347,158,15,16
355,145,16,17
234,164,17,18
245,146,18,19
238,137,19,
168,251,20,20
166,233,21,21
183,242,22,22
204,247,23,23
248,243,24,24
221,249,25,25
235,223,26,26
235,189,27,27
221,157,28,28
211,152,29,29
241,158,30,30
219,128,31,31
281,246,32,32
287,225,33,33
261,217,34,34
253,186,35,35
253,229,36,36
250,200,37,37
266,194,38,38
272,163,39,39
279,192,40,40
280,219,41,41
316,197,42,42
306,181,43,43
329,177,44,44
313,160,45,45
287,140,46,46
266,126,47,47
