pos_1,pos_2,progenitor,descendants_1,descendants_2
287,177,1,1,
289,163,2,2,
303,169,3,3,
279,165,4,4,
359,167,5,5,
328,137,6,6,
337,128,7,7,
313,135,8,8,
270,149,9,9,
258,140,10,10,
259,114,11,11,
331,152,12,12,
346,154,13,13,14
236,174,14,15,
247,154,15,16,
245,140,16,17,
234,144,17,18,
173,258,18,19,
177,240,19,20,
189,251,20,21,
206,243,21,22,
231,247,22,23,
219,240,23,24,
237,227,24,25,
241,194,25,26,
223,170,26,27,
211,158,27,28,
237,163,28,29,
221,131,29,30,
280,237,30,31,
296,224,31,32,
262,209,32,33,
257,192,32,34,
248,213,33,35,36
262,175,34,37,38
275,196,35,39,
288,215,36,40,
319,201,37,41,
306,188,38,42,
321,182,39,43,
313,160,40,44,
284,148,41,45,
270,121,42,46,
