pos_1,pos_2,progenitor,descendants_1,descendants_2
286,174,1,1,
284,160,2,2,
307,177,3,3,
278,165,4,4,
356,173,5,5,
333,144,6,6,
338,130,7,7,
322,137,8,8,
274,149,9,9,
263,134,10,10,
331,157,11,11,
356,147,12,12,
238,178,13,13,
246,157,14,14,
250,143,15,15,
238,141,16,16,
172,258,17,17,
178,240,18,18,
197,247,19,19,
223,242,20,20,21
234,213,21,22,
236,201,21,23,
225,166,22,24,
210,159,23,25,
242,166,24,26,
222,133,25,27,
284,224,26,28,
262,203,27,29,
250,211,28,30,
261,183,29,31,
282,206,30,32,
313,205,31,33,
301,191,32,34,
318,177,33,35,
313,165,33,36,
286,140,34,37,
276,132,34,38,
