pos_1,pos_2,progenitor,descendants
284,173,1,
287,158,2,
304,163,3,
283,150,4,
364,157,5,
311,132,6,
330,131,7,
350,134,8,
321,142,9,
257,151,10,
270,143,11,
255,138,12,
255,116,13,
332,151,14,
332,139,15,
347,158,16,
355,145,17,
234,162,18,
245,146,19,
168,251,21,
166,233,22,
179,242,23,
204,247,24,
248,243,25,
219,253,26,
235,223,27,
233,189,28,
221,157,29,
211,152,30,
241,156,31,
222,124,32,
281,246,33,
287,225,34,
261,217,35,
253,186,36,
253,229,37,
250,200,38,
266,194,39,
272,163,40,
279,188,41,
280,219,42,
316,197,43,
306,181,44,
329,176,45,
315,159,46,
287,140,47,
266,126,48,
