pos_1,pos_2,progenitor,descendants_1,descendants_2
285,181,1,1,
289,163,2,2,
303,169,3,3,
279,161,4,4,
359,167,5,5,
324,134,6,6,
337,128,7,7,
313,138,8,8,
270,149,9,9,
259,138,10,10,
254,112,11,11,
330,152,12,12,13
346,160,13,14,
352,147,13,15,
236,174,14,16,
247,154,15,17,
245,140,16,18,
234,144,17,19,
173,258,18,20,
177,241,19,21,
189,249,20,22,
207,243,21,23,
231,247,22,24,
219,240,23,25,
237,229,24,26,
241,194,25,27,
223,169,26,28,
212,158,27,29,
236,161,28,30,
221,131,29,31,
280,238,30,32,
296,224,31,33,
263,213,32,34,
257,192,33,35,
252,217,34,36,
248,208,34,37,
267,183,35,38,
262,168,35,39,
275,196,36,40,
288,215,37,41,
319,201,38,42,
306,183,39,43,
323,180,40,44,
313,160,41,45,
284,148,42,46,
270,121,43,47,
