pos_1,pos_2,progenitor,descendants
283,180,1,1
289,163,2,2
303,169,3,3
279,161,4,4
359,167,5,5
324,134,6,6
337,128,7,7
320,145,8,8
270,149,9,9
259,138,10,10
254,112,11,11
330,159,12,12
332,147,12,13
346,159,13,14
352,147,14,15
236,174,15,16
247,154,16,17
245,140,17,18
236,139,18,19
170,258,19,20
177,241,20,21
188,249,21,22
207,243,22,23
231,247,23,24
219,240,24,25
237,229,25,26
239,191,26,27
223,166,27,28
212,158,28,29
236,161,29,30
221,131,30,31
280,238,31,32
296,224,32,33
263,213,33,34
257,192,34,35
252,217,35,36
248,207,36,37
267,184,37,38
265,167,38,39
276,193,39,40
286,217,40,41
319,200,41,42
306,183,42,43
323,180,43,44
312,158,44,45
284,148,45,46
270,121,46,47
