pos_1,pos_2,progenitor,descendants_1,descendants_2
284,175,1,1,
286,160,2,2,
301,165,3,3,
283,150,4,4,
364,157,5,5,
311,128,6,6,
330,130,7,7,8
315,138,8,9,
257,148,9,10,
270,142,10,11,
255,135,11,12,
256,114,12,13,
332,157,13,14,
333,139,14,15,
349,159,15,16,
355,145,16,17,
234,165,17,18,
245,146,18,19,
238,137,19,20,
170,254,20,21,
166,236,21,22,
183,242,22,23,
204,247,23,24,
248,243,24,25,
221,249,25,26,
235,227,26,27,
235,189,27,28,
221,163,28,29,
211,152,29,30,
241,158,30,31,
219,128,31,32,
281,246,32,33,
294,220,33,34,
256,216,34,35,
253,186,35,36,
253,229,36,37,
250,200,37,38,
266,194,38,39,
272,163,39,40,
279,192,40,41,
282,219,41,42,
316,198,42,43,
306,181,43,44,
329,177,44,45,
313,160,45,46,
287,141,46,47,
270,121,47,48,
