pos_1,pos_2,progenitor,descendants
288,174,1,1
284,160,2,2
309,175,3,3
275,162,4,4
356,171,5,5
332,142,6,6
337,128,7,7
315,132,8,8
270,146,9,9
261,132,10,10
331,157,11,11
350,153,12,12
238,178,13,13
249,154,14,14
250,141,15,15
238,141,16,16
173,262,17,17
179,240,18,18
192,248,19,19
208,246,19,20
231,246,20,21
219,240,21,22
235,220,22,23
240,195,23,24
225,166,24,25
210,155,25,26
241,163,26,27
222,133,27,28
284,224,28,29
262,203,29,30
247,209,30,31
261,183,31,32
282,206,32,33
319,201,33,34
302,190,34,35
322,183,35,36
313,160,36,37
286,142,37,38
275,130,38,39
