pos_1,pos_2,progenitor,descendants
284,175,1,1
286,160,2,2
301,165,3,3
280,156,4,4
361,160,5,5
324,132,6,6
336,132,7,7
318,144,8,8
259,148,9,9
275,142,10,10
255,135,11,11
257,110,12,12
332,157,13,13
330,144,14,14
346,156,15,15
352,147,16,16
233,167,17,17
247,152,18,18
235,140,20,19
173,259,21,20
173,239,22,21
185,247,23,22
209,247,24,23
242,245,25,24
221,249,26,25
234,228,27,26
235,186,28,27
223,162,29,28
212,155,30,29
235,155,31,30
219,131,32,31
285,246,33,32
295,222,34,33
259,216,35,34
257,190,36,35
254,228,37,36
248,202,38,37
266,194,39,38
270,168,40,39
279,192,41,40
284,219,42,41
319,198,43,42
306,183,44,43
323,180,45,44
312,158,46,45
287,143,47,46
270,121,48,47
