pos_1,pos_2,progenitor,descendants_1,descendants_2
288,174,1,1,
284,160,2,2,
308,175,3,3,
275,162,4,4,
356,171,5,5,
330,140,6,6,
337,128,7,7,
315,132,8,8,
270,146,9,9,
261,132,10,10,
331,157,11,11,
350,153,12,12,
236,175,13,13,
249,154,14,14,
250,141,15,15,
238,141,16,16,
174,263,17,17,
177,240,18,18,
192,252,19,19,
207,247,20,20,
231,246,21,21,
219,240,22,22,
236,222,23,23,
240,195,24,24,
225,167,25,25,
210,155,26,26,
241,163,27,27,
217,132,28,28,
287,224,29,29,
260,199,30,30,
247,209,31,31,
261,183,32,32,
282,206,33,33,34
319,201,34,35,
306,190,35,36,
322,183,36,37,
313,158,37,38,
284,146,38,39,
273,127,39,40,
