pos_1,pos_2,progenitor,descendants_1,descendants_2
287,177,1,1,
285,159,2,2,
303,170,3,3,
279,165,4,4,
356,171,5,5,
328,137,6,6,
337,128,7,7,
313,135,8,8,
270,148,9,9,
257,138,10,10,
260,117,11,11,
331,152,12,12,
346,154,13,13,
236,174,14,14,
247,154,15,15,
245,140,16,16,
234,144,17,17,
174,263,18,18,
177,240,19,19,
190,251,20,20,
206,243,21,21,
231,247,22,22,
219,240,23,23,
237,227,24,24,
241,194,25,25,
223,170,26,26,
210,155,27,27,
237,163,28,28,
221,131,29,29,
282,234,30,30,
294,225,30,31,
260,199,31,32,33
248,213,32,34,
262,180,33,35,
279,201,34,36,
289,217,35,37,
319,201,36,38,
306,188,37,39,
321,182,38,40,
313,157,39,41,
284,148,40,42,
273,127,41,43,
