pos_1,pos_2,progenitor,descendants_1,descendants_2
288,176,1,1,
284,160,2,2,
303,170,3,3,
279,165,4,4,
356,171,5,5,
329,137,6,6,
337,128,7,7,
315,132,8,8,
270,146,9,9,
259,130,10,10,11
333,151,11,12,
350,153,12,13,
236,174,13,14,
249,154,14,15,
250,141,15,16,
238,141,16,17,
174,263,17,18,
177,240,18,19,
191,251,19,20,
207,247,20,21,
231,247,21,22,
219,240,22,23,
236,222,23,24,
242,194,24,25,
224,173,25,26,
210,155,26,27,
237,163,27,28,
217,132,28,29,
287,224,29,30,
260,199,30,31,
247,209,31,32,
262,180,32,33,
279,205,33,34,
289,209,33,35,
319,201,34,36,
306,190,35,37,
321,182,36,38,
313,157,37,39,
284,147,38,40,
273,127,39,41,
