pos_1,pos_2,progenitor,descendants
284,175,1,1
286,160,2,2
301,165,3,3
283,154,4,4
364,159,5,5
324,132,6,6
336,132,7,7
316,140,8,8
257,148,9,9
270,142,10,10
255,135,11,11
257,110,12,12
332,157,13,13
330,144,14,14
349,159,15,15
355,145,16,16
235,167,17,17
245,148,18,18
235,138,19,19
170,258,20,20
166,238,21,21
183,244,22,22
206,250,23,23
242,245,24,24
221,249,25,25
234,228,26,26
235,186,27,27
223,162,28,28
212,155,29,29
235,155,30,30
219,130,31,31
281,246,32,32
294,220,33,33
259,216,34,34
253,186,35,35
254,228,36,36
250,200,37,37
266,194,38,38
270,168,39,39
279,192,40,40
282,219,41,41
319,198,42,42
306,181,43,43
329,177,44,44
312,158,45,45
287,143,46,46
270,121,47,47
