cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,1,1,0,0,0,2,0,2,0,0
216_3,1,1,1,2,0,2,2,2,0,1
I2,1,1,2,0,2,2,0,2,0,0
I3,1,1,2,2,2,2,0,2,0,0
216_8,1,1,2,2,2,2,0,2,0,0
I4,1,1,2,2,2,2,1,2,0,0
216_10,1,1,2,2,2,2,1,2,0,0
216_9,1,1,2,2,2,2,1,2,0,0
I5,1,1,2,0,2,2,0,2,1,0
216_5,1,1,2,0,2,2,0,2,1,0
I6,1,1,2,0,2,2,0,2,1,0
216_7,1,1,2,0,2,2,0,2,1,2
216_6,1,1,2,0,2,2,0,2,1,0
I7,0,0,2,2,0,2,0,0,0,0
I8,2,0,2,2,0,2,0,0,0,0
I9,2,1,2,2,0,2,1,0,0,1
I10,2,1,2,2,0,2,1,2,0,1
216_23,2,1,2,2,0,2,1,2,0,1
216_22,2,1,2,2,0,2,1,2,0,1
I11,2,1,2,2,0,2,1,0,0,1
216_25,2,1,2,2,0,2,1,0,0,1
216_24,2,1,2,2,0,2,1,0,0,1
I12,2,0,2,2,0,2,0,0,1,0
I13,2,0,2,2,0,2,2,0,1,0
216_19,2,0,2,2,2,2,2,0,1,0
216_18,2,0,2,2,0,2,2,2,1,0
I14,2,0,2,2,0,2,0,1,1,0
216_21,2,2,2,2,0,2,0,1,1,0
216_20,2,0,2,2,0,2,0,1,1,0
I15,0,0,2,2,0,2,0,1,0,0
I16,1,0,2,2,1,2,1,1,1,0
216_27,1,0,2,2,1,2,1,1,1,0
216_26,1,0,2,2,1,2,1,1,1,1
I17,0,0,2,2,0,2,2,1,2,0
I18,0,0,2,2,0,2,2,1,2,0
216_35,0,0,2,2,0,2,2,1,2,0
216_34,0,0,2,2,0,2,2,1,2,0
I19,0,0,2,2,0,2,2,1,2,0
I20,0,0,2,2,0,2,2,1,2,0
216_31,0,0,2,2,0,2,2,1,2,0
216_30,0,0,2,2,0,2,2,1,2,0
I21,0,0,2,2,0,2,2,1,2,0
216_33,0,0,2,2,0,2,2,1,2,0
216_32,0,0,2,2,0,2,2,1,2,0
Evolve tree: [&R] ((((((216_32:0.020186915887850092,216_33:0.020186915887850092)I21:0.14966355140186685,(216_30:0.003999999999999924,216_31:0.003999999999999924)I20:0.16585046728971703)I19:0.19284112149532506,(216_34:0.14186915887850238,216_35:0.14186915887850238)I18:0.22082242990653966)I17:0.3076261682242972,(216_26:0.16044859813083856,216_27:0.16044859813083856)I16:0.5098691588785008)I15:0.3288224299065413,(((216_20:0.14648598130840887,216_21:0.14648598130840887)I14:0.20538317757009122,(216_18:0.13269158878504456,216_19:0.13269158878504456)I13:0.21917757009345554)I12:0.2993271028037365,((216_24:0.09231775700934422,216_25:0.09231775700934422)I11:0.23282242990653929,(216_22:0.08355140186915744,216_23:0.08355140186915744)I10:0.24158878504672607)I9:0.32605607476635307)I8:0.34794392523364404)I7:0.2908598130841122,((((216_6:0.020186915887850092,216_7:0.020186915887850092)I6:0.16390654205607227,216_5:0.18409345794392237)I5:0.2004672897196241,((216_9:0.008018691588784894,216_10:0.008018691588784894)I4:0.15712149532710032,216_8:0.16514018691588522)I3:0.21942056074766125)I2:0.26663551401869,216_3:0.6511962616822367)I1:0.6388037383177562)I0:0;
