cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_3,1,1,1,2,0,2,2,2,0,1
216_8,1,1,2,2,2,2,0,2,0,0
216_10,1,1,2,2,2,2,1,2,0,0
216_9,1,1,2,2,2,2,1,2,0,0
216_5,1,1,2,0,2,2,0,2,1,0
216_7,1,1,2,0,2,2,0,2,1,2
216_6,1,1,2,0,2,2,0,2,1,0
216_23,2,1,2,2,0,2,1,2,0,1
216_22,2,1,2,2,0,2,1,2,0,1
216_25,2,1,2,2,0,2,1,0,0,1
216_24,2,1,2,2,0,2,1,0,0,1
216_19,2,0,2,2,2,2,2,0,1,0
216_18,2,0,2,2,0,2,2,2,1,0
216_21,2,2,2,2,0,2,0,1,1,0
216_20,2,0,2,2,0,2,0,1,1,0
216_27,1,0,2,2,1,2,1,1,1,0
216_26,1,0,2,2,1,2,1,1,1,1
216_35,0,0,2,2,0,2,2,1,2,0
216_34,0,0,2,2,0,2,2,1,2,0
216_31,0,0,2,2,0,2,2,1,2,0
216_30,0,0,2,2,0,2,2,1,2,0
216_33,0,0,2,2,0,2,2,1,2,0
216_32,0,0,2,2,0,2,2,1,2,0
