cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,1,1,0,0,0,0
216_2,1,2,2,1,1,1,0,1,1,0
I1,0,0,2,2,1,1,0,0,0,0
I2,1,0,2,2,1,1,0,0,0,0
I3,1,0,2,2,1,1,0,0,0,0
216_14,1,0,2,2,1,1,0,0,0,0
216_13,1,0,2,2,1,1,0,0,0,0
I4,1,1,2,2,1,1,0,0,0,0
I5,1,1,2,2,1,1,0,0,0,0
216_16,1,1,2,2,1,1,0,0,0,0
216_15,1,1,2,2,1,1,0,0,1,0
I6,1,1,2,2,1,1,0,2,0,1
216_18,1,1,2,2,1,1,0,2,0,1
216_17,1,1,2,2,1,1,0,2,0,1
I7,2,1,2,2,1,1,0,0,0,0
I8,2,1,2,2,1,1,0,0,0,0
I9,2,1,2,2,1,1,0,0,0,0
216_11,2,1,2,2,1,1,0,0,0,0
216_10,2,1,2,2,1,1,0,0,0,0
I10,2,1,2,2,1,1,0,0,0,0
216_9,2,1,2,2,1,1,0,0,0,0
216_8,2,1,2,2,1,1,0,0,0,0
I11,2,1,2,2,1,1,0,0,2,0
I12,2,1,2,2,1,1,0,1,2,0
216_5,2,1,2,2,1,1,0,1,2,0
216_4,2,1,2,2,1,1,1,1,2,0
I13,2,1,2,2,1,1,0,2,2,0
216_7,2,1,2,2,1,1,0,2,2,0
216_6,2,1,2,2,1,1,0,2,2,0
Evolve tree: [&R] (((((216_6:0.09231775700934422,216_7:0.09231775700934422)I13:0.1858878504672874,(216_4:0.08355140186915744,216_5:0.08355140186915744)I12:0.19465420560747418)I11:0.2379065420560729,((216_8:0.07485981308411084,216_9:0.07485981308411084)I10:0.17792523364485746,(216_10:0.04084112149532636,216_11:0.04084112149532636)I9:0.21194392523364194)I8:0.26332710280373617)I7:0.28598130841121383,(((216_17:0.05770093457943823,216_18:0.05770093457943823)I6:0.19005607476635256,(216_15:0.03667289719626102,216_16:0.03667289719626102)I5:0.21108411214952977)I4:0.24476635514018488,(216_13:0.0492336448598122,216_14:0.0492336448598122)I3:0.4432897196261634)I2:0.3095700934579426)I1:0.41657943925233604,216_2:1.218672897196254)I0:0.07132710280373833;
