cell,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
216_1,0,0,0,0,0,0,0,2,2,1
216_2,0,0,0,0,0,0,0,2,2,1
216_3,0,0,0,0,0,0,0,2,2,1
216_4,0,0,0,0,0,0,0,2,2,1
216_5,0,0,0,0,0,1,0,0,2,1
216_6,0,0,0,0,0,1,0,0,2,1
216_13,0,1,1,2,2,1,1,2,2,1
216_14,0,1,1,2,2,1,1,2,2,1
216_15,0,1,1,2,2,1,2,2,2,1
216_16,0,1,1,2,2,1,2,2,2,1
216_17,2,1,1,2,0,1,1,2,2,1
216_18,2,1,1,2,0,1,1,2,2,1
216_19,2,1,1,2,0,1,1,2,2,1
216_20,2,1,1,2,0,1,1,2,2,1
216_21,2,1,1,2,0,1,1,2,2,1
216_22,2,1,1,2,0,1,1,2,2,1
216_23,2,1,1,2,0,1,1,2,2,1
216_24,2,1,1,2,0,1,1,2,2,1
216_25,2,1,1,2,2,1,0,0,0,0
216_26,2,1,1,2,0,0,0,2,0,1
216_27,2,1,1,2,2,1,1,2,0,1
216_28,2,1,1,2,2,1,1,2,0,1
216_29,2,0,0,0,2,1,2,0,0,0
216_30,2,0,0,0,2,1,2,0,0,0
216_31,2,0,0,0,2,1,2,0,2,1
216_32,2,0,0,0,2,1,2,0,2,1
