	0
114_1	113
138_5	137
138_6	137
144_5	143
148_12	147
149_11	148
162_1	161
183_12	182
183_13	182
184_10	183
185_12	184
191_9	190
193_22	192
194_20	193
194_24	193
195_22	194
200_11	199
205_1	204
205_2	204
208_5	207
216_1	215
216_13	215
216_14	215
216_15	215
216_16	215
216_17	215
216_18	215
216_19	215
216_2	215
216_20	215
216_21	215
216_22	215
216_23	215
216_24	215
216_25	215
216_26	215
216_27	215
216_28	215
216_29	215
216_3	215
216_30	215
216_31	215
216_32	215
216_4	215
216_5	215
216_6	215
54_2	53
57_1	56
6_1	5
93_3	92
98_5	97
