24_1,366.0,208.0
83_3,377.0,198.0
135_4,385.0,207.0
190_5,388.0,209.0
216_10,396.0,196.0
216_9,376.0,218.0
185_6,354.0,186.0
216_12,339.0,190.0
216_11,376.0,186.0
132_4,365.0,169.0
216_14,388.0,149.0
181_8,365.0,165.0
216_16,348.0,167.0
216_15,370.0,145.0
75_1,366.0,211.0
135_3,375.0,211.0
200_6,351.0,200.0
216_8,363.0,204.0
216_7,335.0,204.0
199_4,375.0,231.0
216_6,384.0,226.0
216_5,369.0,235.0
134_1,366.0,221.0
209_3,366.0,214.0
216_4,376.0,205.0
216_3,356.0,217.0
194_1,350.0,221.0
216_2,339.0,213.0
216_1,357.0,234.0
