cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,0,0,2,1,0,0,1,0,0,0
216_3,0,1,2,1,1,1,1,0,2,0
I2,1,1,2,1,0,2,1,0,1,2
216_5,1,1,2,1,0,2,1,0,1,2
I3,1,1,2,1,2,2,1,0,1,2
216_8,1,1,2,1,2,2,1,0,1,2
216_7,1,1,2,1,2,2,1,0,1,2
I4,2,2,0,2,0,0,0,0,1,0
I5,2,2,1,2,1,0,1,2,1,0
216_16,2,2,1,2,1,1,1,2,1,0
I6,2,2,1,2,1,0,1,2,1,0
216_14,2,2,1,2,1,0,1,2,1,0
216_13,2,2,1,2,1,0,1,2,1,0
I7,2,2,0,2,0,0,1,2,1,0
I8,2,2,0,2,2,0,1,2,1,0
216_12,2,2,0,2,2,0,1,2,1,0
216_11,2,2,0,2,2,0,1,2,1,0
I9,2,2,0,2,0,0,1,2,1,1
216_10,2,2,2,2,1,0,1,2,1,1
216_9,2,2,0,2,0,0,1,2,1,1
Evolve tree: [&R] ((((216_9:0.18,216_10:0.18)I9:0.40800000000000003,(216_11:0.15,216_12:0.15)I8:0.438)I7:0.312,((216_13:0.222,216_14:0.222)I6:0.366,216_16:0.588)I5:0.312)I4:0.24,(((216_7:0.198,216_8:0.198)I3:0.318,216_5:0.516)I2:0.33,216_3:0.846)I1:0.294)I0:0.15;
