pos_1,pos_2,progenitor,descendants_1,descendants_2
186,204,1,1,
151,185,2,2,
204,197,3,3,
204,178,4,4,
202,222,5,5,
182,195,6,6,
155,171,7,7,
146,146,8,8,
132,189,9,9,
146,160,10,10,
148,96,11,11,12
171,92,12,13,
159,83,12,14,
228,185,13,15,
247,167,14,16,
163,191,15,17,
177,160,16,18,
190,185,17,19,
214,173,18,20,
177,145,19,21,
154,130,20,22,
228,156,21,23,
207,117,22,24,
226,128,23,25,
248,123,24,26,
264,146,25,27,
260,106,26,28,
229,171,27,29,
205,157,28,30,
161,67,29,31,
206,59,30,32,
250,72,31,33,
252,60,32,34,
