pos_1,pos_2,progenitor,descendants_1,descendants_2
176,201,1,1,
151,185,2,2,
204,197,3,3,
204,177,4,4,
202,222,5,5,
182,196,6,6,
155,171,7,7,
146,146,8,8,
132,188,9,9,
146,160,10,10,
148,96,11,11,
166,84,12,12,13
228,185,13,14,
248,166,14,15,
164,191,15,16,
177,160,16,17,
192,186,17,18,
214,173,18,19,
177,145,19,20,
154,130,20,21,
227,156,21,22,
207,118,22,23,
226,128,23,24,
248,123,24,25,
264,145,25,26,
260,106,26,27,
228,171,27,28,
204,157,28,29,
161,67,29,30,
206,59,30,31,
251,72,31,32,
252,58,32,33,
