cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,1,0,0,0,0,0,1,0,2
I1,1,1,1,2,1,2,2,1,0,2
I2,1,1,1,2,1,2,2,1,0,2
216_4,1,1,1,2,1,2,2,1,0,2
216_3,1,1,1,2,1,2,2,1,0,2
I3,1,1,1,2,1,2,2,1,0,2
216_2,1,1,1,2,1,2,2,1,0,2
216_1,1,1,1,2,1,2,2,1,0,2
I4,0,1,0,0,2,0,0,1,1,2
I5,0,1,0,2,2,1,0,1,1,2
I6,0,1,0,2,2,1,0,1,1,2
216_8,0,1,0,2,2,1,0,1,1,2
216_7,0,1,0,2,2,1,0,1,1,2
I7,1,1,0,2,2,1,0,1,1,2
216_10,1,1,0,2,2,1,0,1,1,2
216_9,1,1,0,2,2,1,0,1,1,2
I8,0,1,0,0,2,0,0,1,1,2
216_6,0,1,2,0,2,0,0,1,1,2
216_5,0,1,0,0,2,0,0,1,1,2
Evolve tree: [&R] (((216_5:0.26933716366236327,216_6:0.26933716366236327)I8:0.34007001787183233,((216_9:0.020130191961974638,216_10:0.020130191961974638)I7:0.20132746700508444,(216_7:0.016078030702131985,216_8:0.016078030702131985)I6:0.2053796282649271)I5:0.38794952256713655)I4:0.3592573254058334,((216_1:0.05719637176967074,216_2:0.05719637176967074)I3:0.25157679950541456,(216_3:0.012038973181965588,216_4:0.012038973181965588)I2:0.29673419809311974)I1:0.659891335664944)I0:0.27228352772928;
